#dtl1
CSM2.1C-043						辉金能量系列礼盒	无标记		C	Darkness Energy
CSMAC-DAR						卡组构筑进阶礼盒 阿尔宙斯&帝牙卢卡&帕路奇亚GX	无标记		C	Darkness Energy
CSMPiC-022						对战派对组合 奖赏包	无标记		C	Darkness Energy
CSMPiC-041						对战派对组合 奖赏包	无标记		C	Darkness Energy
CS2DaC-DAR						宝可梦卡牌 家庭组合	无标记		E	Darkness Energy
CS4aC-184						九彩汇聚 朋	UR		E	Darkness Energy
CS4DaC-432						起始卡组100	无标记		F	Darkness Energy
CS4DaC-DAR						起始卡组100	无标记		F	Darkness Energy
CS5.1C-007						辉耀能量系列礼盒 第二弹	无标记		F	Darkness Energy
CSZC-065						收藏周边礼盒 百变宝盒	无标记		F	Darkness Energy
CBB2C-1103						宝石包 VOL.2	★★★		G	Darkness Energy
CBB2C-1106						宝石包 VOL.2	★★★		G	Darkness Energy
CSVL1C-132						启程专题包	无标记		G	Darkness Energy
CSVL2C-138						游历专题包	无标记		G	Darkness Energy
SVP-DAR							无标记		G	Darkness Energy
SVP-DAR-1							无标记		G	Darkness Energy
SVP-DAR-2							无标记		G	Darkness Energy
SVP-DAR-3							无标记		G	Darkness Energy
CSVH4pC-DAR						嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 奖赏包	无标记		H	Darkness Energy
CSVSC-DAR						对战学院	无标记		H	Darkness Energy
CSAC-DAR						卡组构筑礼盒 极巨争锋	无标记			Darkness Energy
CSM1DC-DAR						起始卡组 横空出世GX	无标记			Darkness Energy
CSVE1C-DAR						对战派对 共梦	无标记			Darkness Energy
CSVH1C-DAR						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵	无标记			Darkness Energy
CSVH1pC-DAR						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 奖赏包	无标记			Darkness Energy
CSVL1C-DAR						启程专题包	无标记			Darkness Energy
CSM2.1C-045						辉金能量系列礼盒	无标记		C	Fairy Energy
CSMAC-FAI						卡组构筑进阶礼盒 阿尔宙斯&帝牙卢卡&帕路奇亚GX	无标记		C	Fairy Energy
CSMPiC-024						对战派对组合 奖赏包	无标记		C	Fairy Energy
CSMPiC-043						对战派对组合 奖赏包	无标记		C	Fairy Energy
CSM1DC-FAI						起始卡组 横空出世GX	无标记			Fairy Energy
CSM2.1C-042						辉金能量系列礼盒	无标记		C	Fighting Energy
CSMAC-FIG						卡组构筑进阶礼盒 阿尔宙斯&帝牙卢卡&帕路奇亚GX	无标记		C	Fighting Energy
CSMPiC-021						对战派对组合 奖赏包	无标记		C	Fighting Energy
CSMPiC-040						对战派对组合 奖赏包	无标记		C	Fighting Energy
CS2DaC-FIG						宝可梦卡牌 家庭组合	无标记		E	Fighting Energy
CS4DaC-431						起始卡组100	无标记		F	Fighting Energy
CS4DaC-FIG						起始卡组100	无标记		F	Fighting Energy
CS5.1C-006						辉耀能量系列礼盒 第二弹	无标记		F	Fighting Energy
CS6bC-172						碧海暗影 逐	UR		F	Fighting Energy
CSZC-064						收藏周边礼盒 百变宝盒	无标记		F	Fighting Energy
CBB3C-2001						宝石包 VOL.3	★★★		G	Fighting Energy
CBB3C-2004						宝石包 VOL.3	★★★		G	Fighting Energy
CSVL1C-131						启程专题包	无标记		G	Fighting Energy
CSVL2C-137						游历专题包	无标记		G	Fighting Energy
SVP-FIG							无标记		G	Fighting Energy
SVP-FIG-1							无标记		G	Fighting Energy
SVP-FIG-2							无标记		G	Fighting Energy
SVP-FIG-3							无标记		G	Fighting Energy
CSVH4C-FIG						嗨皮卡组 狙射树枭&美录梅塔&故勒顿&密勒顿	无标记		H	Fighting Energy
CSVH4pC-FIG						嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 奖赏包	无标记		H	Fighting Energy
CSVSC-FIG						对战学院	无标记		H	Fighting Energy
CSAC-FIG						卡组构筑礼盒 极巨争锋	无标记			Fighting Energy
CSM1DC-FIG						起始卡组 横空出世GX	无标记			Fighting Energy
CSVE1C-FIG						对战派对 共梦	无标记			Fighting Energy
CSVH1C-FIG						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵	无标记			Fighting Energy
CSVH1pC-FIG						嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 奖赏包	无标记			Fighting Energy
CSVL1C-FIG						启程专题包	无标记			Fighting Energy
CSM2.1C-038						辉金能量系列礼盒	无标记		C	Fire Energy
CSMAC-FIR						卡组构筑进阶礼盒 阿尔宙斯&帝牙卢卡&帕路奇亚GX	无标记		C	Fire Energy
CSMPiC-017						对战派对组合 奖赏包	无标记		C	Fire Energy
CSMPiC-036						对战派对组合 奖赏包	无标记		C	Fire Energy
CS2DaC-FIR						宝可梦卡牌 家庭组合	无标记		E	Fire Energy
CS4aC-183						九彩汇聚 朋	UR		E	Fire Energy
CS4DaC-427						起始卡组100	无标记		F	Fire Energy
CS4DaC-FIR						起始卡组100	无标记		F	Fire Energy
CS5.1C-005						辉耀能量系列礼盒 第二弹	无标记		F	Fire Energy
CSZC-060						收藏周边礼盒 百变宝盒	无标记		F	Fire Energy
CBB1C-1802						宝石包 VOL.1	★★★		G	Fire Energy
CBB1C-1805						宝石包 VOL.1	★★★		G	Fire Energy
CSVE2pC-012						对战派对 耀梦 奖赏包	无标记		G	Fire Energy
CSVH3C-FIR						嗨皮卡组 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠	无标记		G	Fire Energy
CSVH5C-FIR						嗨皮组合 快龙&超梦&喷火驼&来悲粗茶	无标记		G	Fire Energy
CSVL1C-127						启程专题包	无标记		G	Fire Energy
CSVL2C-133						游历专题包	无标记		G	Fire Energy
SVP-FIR							无标记		G	Fire Energy
SVP-FIR-1							无标记		G	Fire Energy
SVP-FIR-2							无标记		G	Fire Energy
SVP-FIR-3							无标记		G	Fire Energy
CSVH4C-FIR						嗨皮卡组 狙射树枭&美录梅塔&故勒顿&密勒顿	无标记		H	Fire Energy
CSVH4pC-FIR						嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 奖赏包	无标记		H	Fire Energy
CSVSC-FIR						对战学院	无标记		H	Fire Energy
CSAC-FIR						卡组构筑礼盒 极巨争锋	无标记			Fire Energy
CSM1DC-FIR						起始卡组 横空出世GX	无标记			Fire Energy
