#dtl1
CBB1C-1701	抛掷1次硬币如果为正面，则选择自己牌库中的1张宝可梦，在给对手看过之后，加入手牌。并重洗牌库。				Studio Bora inc.	宝石包 VOL.1	★★		G	Poké Ball
CBB1C-1702	查看自己牌库上方7张卡牌。选择其中1张宝可梦，在给对手看过之后，加入手牌。将剩余的卡牌放回牌库并重洗牌库。				Studio Bora inc.	宝石包 VOL.1	★★		G	Great Ball
CBB1C-1703	这张卡牌，只有将自己的2张手牌放于弃牌区后才可使用。\n\n选择自己牌库中的1张宝可梦，在给对手看过之后，加入手牌。并重洗牌库。				Ayaka Yoshida	宝石包 VOL.1	★★		G	Ultra Ball
CBB2C-1001	抛掷1次硬币如果为正面，则选择自己牌库中的1张宝可梦，在给对手看过之后，加入手牌。并重洗牌库。				Studio Bora Inc.	宝石包 VOL.2	★★		F	Poké Ball
CBB3C-1901	选择自己弃牌区中的宝可梦和基本能量合计最多3张，在给对手看过之后，放回牌库并重洗牌库。				Toyste Beach	宝石包 VOL.3	★★		G	Super Rod
CBB3C-1902	选择自己牌库中的1张【基础】宝可梦，放于备战区。并重洗牌库。				Toyste Beach	宝石包 VOL.3	★★		G	Nest Ball
CBB3C-1903	将自己的战斗宝可梦与备战宝可梦互换。				Studio Bora Inc.	宝石包 VOL.3	★★		G	Switch
CS1.5C-044	查看自己牌库上方7张卡牌。选择其中1张宝可梦，在给对手看过之后，加入手牌。将剩余的卡牌放回牌库并重洗牌库。				Toyste Beach	极巨攻防	U		D	Great Ball
CS1DC-164	选择自己弃牌区中最多2张基本能量，在给对手看过之后，加入手牌。				Ryo Ueda	起始卡组 极巨争锋V	无标记		D	Energy Retrieval
CS1DC-165	选择附着于自己场上宝可梦身上的1个基本能量，转附于自己其他宝可梦身上。				Toyste Beach	起始卡组 极巨争锋V	无标记		D	Energy Switch
CS1DC-166	选择自己牌库中的1张基本能量，在给对手看过之后，加入手牌。并重洗牌库。				Studio Bora Inc.	起始卡组 极巨争锋V	无标记		D	Energy Search
CS1DC-167	选择自己的1只宝可梦，回复其「30」点HP。				Ryo Ueda	起始卡组 极巨争锋V	无标记		D	Potion
CS1DC-169	抛掷1次硬币如果为正面，则选择附着于对手场上宝可梦身上的1个能量，放于弃牌区。				sadaji	起始卡组 极巨争锋V	无标记		D	Crushing Hammer
CS1DC-171	查看自己牌库上方7张卡牌。选择其中1张宝可梦，在给对手看过之后，加入手牌。将剩余的卡牌放回牌库并重洗牌库。				Toyste Beach	起始卡组 极巨争锋V	无标记		D	Great Ball
CS1DC-174	选择自己弃牌区中最多2张支援者，在给对手看过之后，放回牌库并重洗牌库。				Ryo Ueda	起始卡组 极巨争锋V	无标记		D	Pal Pad
CS1DC-176	选择自己手牌中的1张【2阶进化】宝可梦，放于自己场上能够进化成该宝可梦的【基础】宝可梦身上，跳过【1阶进化】进行进化。（在自己最初的回合，以及对这个回合刚出场的宝可梦无法使用。）				Yoshinobu Saito	起始卡组 极巨争锋V	无标记		D	Rare Candy
CS1DC-178	查看自己牌库上方7张卡牌。选择其中1张支援者，在给对手看过之后，加入手牌。将剩余的卡牌放回牌库并重洗牌库。				Ryo Ueda	起始卡组 极巨争锋V	无标记		D	Pokégear 3.0
CS1DC-179	将自己的战斗宝可梦与备战宝可梦互换。				Studio Bora Inc.	起始卡组 极巨争锋V	无标记		D	Switch
CS1DC-180	抛掷1次硬币如果为正面，则选择对手的1只备战宝可梦，将其与战斗宝可梦互换。				Ryo Ueda	起始卡组 极巨争锋V	无标记		D	Pokémon Catcher
CS1DC-183	抛掷1次硬币如果为正面，则选择自己牌库中的1张宝可梦，在给对手看过之后，加入手牌。并重洗牌库。				Studio Bora Inc.	起始卡组 极巨争锋V	无标记		D	Poké Ball
CS1bC-124	选择自己手牌中的1张【2阶进化】宝可梦，放于自己场上能够进化成该宝可梦的【基础】宝可梦身上，跳过【1阶进化】进行进化。（在自己最初的回合，以及对这个回合刚出场的宝可梦无法使用。）				Yoshinobu Saito	极巨争锋 焰	U		D	Rare Candy
CS2.1C-003	选择自己弃牌区中最多2张支援者，在给对手看过之后，放回牌库并重洗牌库。				Ryo Ueda	专题包 喵喵小妙招	无标记		D	Pal Pad
CS2DaC-040	选择自己的1只宝可梦，回复其「30」点HP。				Ryo Ueda	宝可梦卡牌 家庭组合	无标记		D	Potion
CS2DaC-041	抛掷1次硬币如果为正面，则选择附着于对手场上宝可梦身上的1个能量，放于弃牌区。				sadaji	宝可梦卡牌 家庭组合	无标记		D	Crushing Hammer
CS2DaC-042	查看自己牌库上方7张卡牌。选择其中1张宝可梦，在给对手看过之后，加入手牌。将剩余的卡牌放回牌库并重洗牌库。				Toyste Beach	宝可梦卡牌 家庭组合	无标记		D	Great Ball
CS2DaC-043	将自己的战斗宝可梦与备战宝可梦互换。				Studio Bora Inc.	宝可梦卡牌 家庭组合	无标记		D	Switch
CS2DaC-044	抛掷1次硬币如果为正面，则选择对手的1只备战宝可梦，将其与战斗宝可梦互换。				Ryo Ueda	宝可梦卡牌 家庭组合	无标记		D	Pokémon Catcher
CS3.5C-056	查看自己牌库上方7张卡牌。选择其中1张宝可梦，在给对手看过之后，加入手牌。将剩余的卡牌放回牌库并重洗牌库。				Toyste Beach	怒炎灼天	U		D	Great Ball
CS3DC-128	选择自己弃牌区中最多2张基本能量，在给对手看过之后，加入手牌。				Ryo Ueda	起始卡组 洪荒演武V	无标记		D	Energy Retrieval
CS3DC-129	选择附着于自己场上宝可梦身上的1个基本能量，转附于自己其他宝可梦身上。				Toyste Beach	起始卡组 洪荒演武V	无标记		D	Energy Switch
CS3DC-136	查看自己牌库上方7张卡牌。选择其中1张宝可梦，在给对手看过之后，加入手牌。将剩余的卡牌放回牌库并重洗牌库。				Toyste Beach	起始卡组 洪荒演武V	无标记		D	Great Ball
CS3DC-139	选择自己手牌中的1张【2阶进化】宝可梦，放于自己场上能够进化成该宝可梦的【基础】宝可梦身上，跳过【1阶进化】进行进化。（在自己最初的回合，以及对这个回合刚出场的宝可梦无法使用。）				Yoshinobu Saito	起始卡组 洪荒演武V	无标记		D	Rare Candy
CS3DC-140	将自己的战斗宝可梦与备战宝可梦互换。				Studio Bora Inc.	起始卡组 洪荒演武V	无标记		D	Switch
CS3DC-141	抛掷1次硬币如果为正面，则选择对手的1只备战宝可梦，将其与战斗宝可梦互换。				Ryo Ueda	起始卡组 洪荒演武V	无标记		D	Pokémon Catcher
CS4DaC-365	选择自己弃牌区中最多2张基本能量，在给对手看过之后，加入手牌。				Ryo Ueda	起始卡组100	无标记		F	Energy Retrieval
CS4DaC-366	选择附着于自己场上宝可梦身上的1个基本能量，转附于自己其他宝可梦身上。				Toyste Beach	起始卡组100	无标记		F	Energy Switch
CS4DaC-367	选择自己牌库中的1张基本能量，在给对手看过之后，加入手牌。并重洗牌库。				Studio Bora Inc.	起始卡组100	无标记		F	Energy Search
CS4DaC-370	选择自己的1只宝可梦，回复其「30」点HP。				Ryo Ueda	起始卡组100	无标记		F	Potion
CS4DaC-372	抛掷1次硬币如果为正面，则选择附着于对手场上宝可梦身上的1个能量，放于弃牌区。				sadaji	起始卡组100	无标记		F	Crushing Hammer
CS4DaC-373	查看自己牌库上方7张卡牌。选择其中1张宝可梦，在给对手看过之后，加入手牌。将剩余的卡牌放回牌库并重洗牌库。				Toyste Beach	起始卡组100	无标记		F	Great Ball
CS4DaC-375	这张卡牌，只有将自己的2张手牌放于弃牌区后才可使用。\n\n选择自己牌库中的1张宝可梦，在给对手看过之后，加入手牌。并重洗牌库。				sadaji	起始卡组100	无标记		F	Ultra Ball
CS4DaC-376	选择自己手牌中的1张【2阶进化】宝可梦，放于自己场上能够进化成该宝可梦的【基础】宝可梦身上，跳过【1阶进化】进行进化。（在自己最初的回合，以及对这个回合刚出场的宝可梦无法使用。）				Yoshinobu Saito	起始卡组100	无标记		F	Rare Candy
CS4DaC-377	将自己的战斗宝可梦与备战宝可梦互换。				Studio Bora Inc.	起始卡组100	无标记		F	Switch
CS4DaC-378	抛掷1次硬币如果为正面，则选择对手的1只备战宝可梦，将其与战斗宝可梦互换。				Ryo Ueda	起始卡组100	无标记		F	Pokémon Catcher
CS4DaC-379	抛掷1次硬币如果为正面，则选择自己牌库中的1张宝可梦，在给对手看过之后，加入手牌。并重洗牌库。				Studio Bora Inc.	起始卡组100	无标记		F	Poké Ball
CS5.5C-059	选择自己场上1只宝可梦身上放置的最多2个伤害指示物，以任意方式转放于自己的其他宝可梦身上。				sadaji	暗影夺辉	U		F	Damage Pump
CS5.5C-060	查看自己所有反面朝上的奖赏卡。选择其中1张【基础】宝可梦，在给对手看过之后，与这张「洗翠的沉重球」互换，加入手牌。将查看过的奖赏卡及被换入的卡牌反面朝上重洗过后，作为奖赏卡放置。				Studio Bora Inc.	暗影夺辉	U		F	Hisuian Heavy Ball
CS5DC-113	这张卡牌，只有在后攻玩家的最初回合才可使用，如果使用了，则自己的回合结束。\n\n选择自己牌库中的1张基本能量，附着于自己的宝可梦身上。并重洗牌库。				sadaji	起始卡组 勇魅群星V	无标记		F	Wait and See Turbo
CS5DC-115	查看自己牌库上方1张卡牌，再放回原处。若希望，可选择1张反面朝上的自己的奖赏卡，将其与自己牌库最上方的卡牌，在反面朝上的状态下互换。				5ban Graphics	起始卡组 勇魅群星V	无标记		F	Arc Phone
CS5DC-116	将自己战斗场上的【基础】宝可梦与备战宝可梦互换。然后，回复被换入备战区的宝可梦「30」点HP。				Toyste Beach	起始卡组 勇魅群星V	无标记		F	Switch Cart
CS5DC-117	查看自己牌库上方7张卡牌。选择其中1张能量，在给对手看过之后，加入手牌。将剩余的卡牌放回牌库并重洗牌库。				ORBITALLINK Inc.	起始卡组 勇魅群星V	无标记		F	Energy Loto
CS5DC-118	选择自己弃牌区中最多2张基本能量，在给对手看过之后，加入手牌。				Ryo Ueda	起始卡组 勇魅群星V	无标记		F	Energy Retrieval
CS5DC-119	选择附着于自己场上宝可梦身上的1个基本能量，转附于自己其他宝可梦身上。				Toyste Beach	起始卡组 勇魅群星V	无标记		F	Energy Switch
CS5DC-120	将自己所有宝可梦的HP，各回复「20」点。				AYUMI ODASHIMA	起始卡组 勇魅群星V	无标记		F	Fresh Water Set
CS5DC-121	将自己牌库上方的1张卡牌翻到正面，如果该卡牌是【斗】能量的话，则附着于自己的备战宝可梦身上。如果不是【斗】能量的话，则在给对手看过之后，加入手牌。				Eske Yoshinob	起始卡组 勇魅群星V	无标记		F	Gutsy Pickaxe
CS5DC-122	选择自己的1只宝可梦，回复其「30」点HP。				Ryo Ueda	起始卡组 勇魅群星V	无标记		F	Potion
CS5DC-125	查看自己牌库上方7张卡牌。选择其中1张宝可梦，在给对手看过之后，加入手牌。将剩余的卡牌放回牌库并重洗牌库。				Toyste Beach	起始卡组 勇魅群星V	无标记		F	Great Ball
CS5DC-126	选择自己弃牌区中的1张「基本【恶】能量」，附着于备战区的【恶】宝可梦身上。				Ryo Ueda	起始卡组 勇魅群星V	无标记		F	Dark Patch
CS5DC-128	这张卡牌，只有将自己的2张手牌放于弃牌区后才可使用。\n\n选择自己牌库中的1张宝可梦，在给对手看过之后，加入手牌。并重洗牌库。				sadaji	起始卡组 勇魅群星V	无标记		F	Ultra Ball
CS5DC-130	将自己的战斗宝可梦与备战宝可梦互换。				Studio Bora Inc.	起始卡组 勇魅群星V	无标记		F	Switch
CS5DC-131	抛掷1次硬币如果为正面，则选择对手的1只备战宝可梦，将其与战斗宝可梦互换。				Ryo Ueda	起始卡组 勇魅群星V	无标记		F	Pokémon Catcher
CS5DC-163	选择附着于自己场上宝可梦身上的1个基本能量，转附于自己其他宝可梦身上。				Toyste Beach	起始卡组 勇魅群星V	无标记		F	Energy Switch
CS5aC-112	查看自己牌库上方1张卡牌，再放回原处。若希望，可选择1张反面朝上的自己的奖赏卡，将其与自己牌库最上方的卡牌，在反面朝上的状态下互换。				5ban Graphics	勇魅群星 魅	U		F	Arc Phone
CS5aC-113	在这个回合结束前，对手战斗宝可梦的特性，全部消除。（也包括新被放于战斗场的宝可梦。）				Studio Bora Inc.	勇魅群星 魅	U		F	Canceling Cologne
CS5aC-114	选择自己弃牌区中的1张「基本【恶】能量」，附着于备战区的【恶】宝可梦身上。				Ryo Ueda	勇魅群星 魅	U		F	Dark Patch
CS5aC-115	这张卡牌，只有将自己的2张手牌放于弃牌区后才可使用。\n\n选择自己牌库中的1张宝可梦，在给对手看过之后，加入手牌。并重洗牌库。				sadaji	勇魅群星 魅	U		F	Ultra Ball
CS5aC-116	选择自己牌库中的1张没有【撤退】所需能量的宝可梦，在给对手看过之后，加入手牌。并重洗牌库。				Studio Bora Inc.	勇魅群星 魅	U		F	Feather Ball
CS5aC-173	选择自己弃牌区中的1张「基本【恶】能量」，附着于备战区的【恶】宝可梦身上。				Ryo Ueda	勇魅群星 魅	UR		F	Dark Patch
CS5bC-114	这张卡牌，只有在后攻玩家的最初回合才可使用，如果使用了，则自己的回合结束。\n\n选择自己牌库中的1张基本能量，附着于自己的宝可梦身上。并重洗牌库。				sadaji	勇魅群星 勇	U		F	Wait and See Turbo
CS5bC-115	选择自己的1只宝可梦。抛掷硬币直到出现反面，回复该宝可梦正面次数×40点HP。				ORBITALLINK Inc.	勇魅群星 勇	U		F	Sweet Honey
