#srch1
CSV10C-190	n的pp提升剂 item csv10c i
CS5DC-115	阿尔宙斯手机 arc phone item cs5dc f
CS5aC-112	阿尔宙斯手机 arc phone item cs5ac f
CS5DC-126	暗黑补丁 dark patch item cs5dc f
CS5aC-114	暗黑补丁 dark patch item cs5ac f
CS5aC-173	暗黑补丁 dark patch item cs5ac f
CSVE1C-113	暗黑补丁 dark patch item csve1c f
CSVE2C-149	暗黑补丁 dark patch item csve2c f
CSVE2pC-009	暗黑补丁 dark patch item csve2pc f
CSVH2C-042	暗黑补丁 dark patch item csvh2c f
CSM2DC-269	暗之石 dusk stone item csm2dc c
CSM2cC-130	暗之石 dusk stone item csm2cc c
CSV9C-188	百万吨吹风机 megaton blower item ace spec csv9c h
CSM1DC-256	宝可导航 pokénav item csm1dc b
CSM1cC-127	宝可导航 pokénav item csm1cc b
CSM1DC-258	宝可梦捕捉器 pokémon catcher item csm1dc a
CSM2DC-264	宝可梦捕捉器 pokémon catcher item csm2dc a
CS1DC-180	宝可梦捕捉器 pokémon catcher item cs1dc d
CS2DaC-044	宝可梦捕捉器 pokémon catcher item cs2dac d
CS3DC-141	宝可梦捕捉器 pokémon catcher item cs3dc d
CS4DaC-378	宝可梦捕捉器 pokémon catcher item cs4dac f
CS5DC-131	宝可梦捕捉器 pokémon catcher item cs5dc f
CSVH1C-047	宝可梦捕捉器 pokémon catcher item csvh1c g
CSVH2C-047	宝可梦捕捉器 pokémon catcher item csvh2c g
CSVH3C-047	宝可梦捕捉器 pokémon catcher item csvh3c g
CSVH4C-040	宝可梦捕捉器 pokémon catcher item csvh4c g
CSVH5C-045	宝可梦捕捉器 pokémon catcher item csvh5c g
CSVM1cC-014	宝可梦捕捉器 pokémon catcher item csvm1cc g
CSVSC-055	宝可梦捕捉器 pokémon catcher item csvsc g
SVP-237	宝可梦捕捉器 pokémon catcher item svp g
CSM1DC-257	宝可梦交替 switch item csm1dc a
CSM1bC-200	宝可梦交替 switch item csm1bc a
CSM2DC-263	宝可梦交替 switch item csm2dc a
CSMPaC-014	宝可梦交替 switch item csmpac a
CSMPbC-014	宝可梦交替 switch item csmpbc a
CSMPdC-011	宝可梦交替 switch item csmpdc a
CSMPeC-011	宝可梦交替 switch item csmpec a
CSMPfC-011	宝可梦交替 switch item csmpfc a
CSMPgC-012	宝可梦交替 switch item csmpgc a
CSMPhC-013	宝可梦交替 switch item csmphc a
CS1DC-179	宝可梦交替 switch item cs1dc d
CS2DaC-043	宝可梦交替 switch item cs2dac d
CS3DC-140	宝可梦交替 switch item cs3dc d
CS4DaC-377	宝可梦交替 switch item cs4dac f
CS5DC-130	宝可梦交替 switch item cs5dc f
CSNC-016	宝可梦交替 switch item csnc f
CSZC-038	宝可梦交替 switch item cszc f
CBB3C-1903	宝可梦交替 switch item cbb3c g
CSV1C-113	宝可梦交替 switch item csv1c g
CSV1C-167	宝可梦交替 switch item csv1c g
CSVE1C-123	宝可梦交替 switch item csve1c g
CSVE2C-160	宝可梦交替 switch item csve2c g
CSVH1C-046	宝可梦交替 switch item csvh1c g
CSVH2C-046	宝可梦交替 switch item csvh2c g
CSVH3C-046	宝可梦交替 switch item csvh3c g
CSVH4C-039	宝可梦交替 switch item csvh4c g
CSVH5C-044	宝可梦交替 switch item csvh5c g
CSVM1aC-017	宝可梦交替 switch item csvm1ac g
CSVM2aC-022	宝可梦交替 switch item csvm2ac g
CSVM2bC-017	宝可梦交替 switch item csvm2bc g
CSVM2cC-020	宝可梦交替 switch item csvm2cc g
CSVSC-054	宝可梦交替 switch item csvsc g
SVP-294	宝可梦交替 switch item svp g
CSM2.1C-016	宝可梦通信 pokémon communication item csm2 1c c
CSM2DC-265	宝可梦通信 pokémon communication item csm2dc c
CSM2aC-134	宝可梦通信 pokémon communication item csm2ac c
CSM2aC-190	宝可梦通信 pokémon communication item csm2ac c
CSMAC-008	宝可梦通信 pokémon communication item csmac c
CSMPaC-015	宝可梦通信 pokémon communication item csmpac c
CSMPbC-015	宝可梦通信 pokémon communication item csmpbc c
CSMPcC-016	宝可梦通信 pokémon communication item csmpcc c
CSMPdC-012	宝可梦通信 pokémon communication item csmpdc c
CSMPgC-013	宝可梦通信 pokémon communication item csmpgc c
CSV8C-181	宝可梦旋风回收机 scoop up cyclone item ace spec csv8c h
CSV9.5C-169	宝可梦旋风回收机 scoop up cyclone item ace spec csv9 5c h
CSV8C-180	宝可生机剂a poké vital a item ace spec csv8c h
CSM2.1C-015	宝可装置3 0 pokégear 3 0 item csm2 1c c
CSM2DC-262	宝可装置3 0 pokégear 3 0 item csm2dc c
CSM2aC-133	宝可装置3 0 pokégear 3 0 item csm2ac c
CSM2aC-189	宝可装置3 0 pokégear 3 0 item csm2ac c
CSMPaC-013	宝可装置3 0 pokégear 3 0 item csmpac c
CSMPbC-013	宝可装置3 0 pokégear 3 0 item csmpbc c
CSMPcC-015	宝可装置3 0 pokégear 3 0 item csmpcc c
CSMPgC-011	宝可装置3 0 pokégear 3 0 item csmpgc c
CS1DC-178	宝可装置3 0 pokégear 3 0 item cs1dc d
CSAC-015	宝可装置3 0 pokégear 3 0 item csac d
CSV2C-113	宝可装置3 0 pokégear 3 0 item csv2c g
CSVE1C-122	宝可装置3 0 pokégear 3 0 item csve1c g
CSVE2C-159	宝可装置3 0 pokégear 3 0 item csve2c g
CSVH3aC-012	宝可装置3 0 pokégear 3 0 item csvh3ac g
CSVM2cC-019	宝可装置3 0 pokégear 3 0 item csvm2cc g
CSV9.5C-160	玻璃喇叭 glass trumpet item csv9 5c h
CSV9C-178	玻璃喇叭 glass trumpet item csv9c h
SVP-283	玻璃喇叭 glass trumpet item svp h
CSV8C-182	捕虫套装 bug catching set item csv8c h
CSV9.5C-170	捕虫套装 bug catching set item csv9 5c h
CSVH4C-041	捕虫套装 bug catching set item csvh4c h
CSV8C-173	不公印章 unfair stamp item ace spec csv8c h
CSVM2bC-010	不公印章 unfair stamp item ace spec csvm2bc h
CS6aC-120	捕获香氛 capturing aroma item cs6ac f
CSVH1aC-009	捕获香氛 capturing aroma item csvh1ac f
CSVH2aC-008	捕获香氛 capturing aroma item csvh2ac f
CSZC-032	捕获香氛 capturing aroma item cszc f
CSM1bC-122	捕网球 net ball item csm1bc b
CSM1bC-197	捕网球 net ball item csm1bc b
CSM2.1C-008	捕网球 net ball item csm2 1c b
CSM2DC-257	捕网球 net ball item csm2dc b
CSMPaC-010	捕网球 net ball item csmpac b
CSM1DC-263	彩虹笔刷 rainbow brush item csm1dc b
CSM2DC-249	裁判口哨 judge whistle item csm2dc c
CSM2DC-355	裁判口哨 judge whistle item csm2dc c
CSM1DC-252	场地吹风机 field blower item csm1dc a
CSM1aC-126	场地吹风机 field blower item csm1ac a
CSM1aC-207	场地吹风机 field blower item csm1ac a
CSM2.1C-012	场地吹风机 field blower item csm2 1c a
CSMAC-006	场地吹风机 field blower item csmac a
CSM1DC-241	超级宝可梦回收 super scoop up item csm1dc a
CSM1DC-335	超级宝可梦回收 super scoop up item csm1dc a
CSM2DC-251	超级宝可梦回收 super scoop up item csm2dc a
CSV3C-115	超级能量回收 superior energy retrieval item csv3c g
CSV3C-164	超级能量回收 superior energy retrieval item csv3c g
CSV9.5C-161	超级能量回收 superior energy retrieval item csv9 5c g
CSVE2C-145	超级能量回收 superior energy retrieval item csve2c g
CSVE2pC-021	超级能量回收 superior energy retrieval item csve2pc g
CSVM2aC-016	超级能量回收 superior energy retrieval item csvm2ac g
CSVM2cC-012	超级能量回收 superior energy retrieval item csvm2cc g
SVP-236	超级能量回收 superior energy retrieval item svp g
CSM1DC-240	超级球 great ball item csm1dc a
CSM2DC-250	超级球 great ball item csm2dc a
SMP-NaN10	超级球 great ball item smp a
SMP-NaN11	超级球 great ball item smp a
SMP-NaN12	超级球 great ball item smp a
SMP-NaN13	超级球 great ball item smp a
CS1.5C-044	超级球 great ball item cs1 5c d
CS1DC-171	超级球 great ball item cs1dc d
CS2DaC-042	超级球 great ball item cs2dac d
CS3.5C-056	超级球 great ball item cs3 5c d
CS3DC-136	超级球 great ball item cs3dc d
CSAC-012	超级球 great ball item csac d
SSP-NaN1	超级球 great ball item ssp d
SSP-NaN2	超级球 great ball item ssp d
SSP-NaN3	超级球 great ball item ssp d
SSP-NaN4	超级球 great ball item ssp d
CS4DaC-373	超级球 great ball item cs4dac f
CS5DC-125	超级球 great ball item cs5dc f
SSP-NaN5	超级球 great ball item ssp f
SSP-NaN6	超级球 great ball item ssp f
SSP-NaN7	超级球 great ball item ssp f
SSP-NaN8	超级球 great ball item ssp f
CBB1C-1702	超级球 great ball item cbb1c g
CSV3C-116	超级球 great ball item csv3c g
CSVH4C-032	超级球 great ball item csvh4c g
CSVH5C-038	超级球 great ball item csvh5c g
CSVSC-052	超级球 great ball item csvsc g
SVP-NaN2	超级球 great ball item svp g
SVP-NaN3	超级球 great ball item svp g
SVP-NaN4	超级球 great ball item svp g
SVP-NaN5	超级球 great ball item svp g
CSM2.5C-045	超强捕捉器 great catcher item csm2 5c c
CSM2.5C-094	超强捕捉器 great catcher item csm2 5c c
CSM2aC-131	超强药水 great potion item csm2ac c
CSMPkC-009	超强药水 great potion item csmpkc c
CS3bC-105	潮漩扇 fan of waves item  "rapid strike"  cs3bc e
CS3bC-176	潮漩扇 fan of waves item  "rapid strike"  cs3bc e
CSCC-007	潮漩扇 fan of waves item  "rapid strike"  cscc e
CSVE1C-102	潮漩扇 fan of waves item  "rapid strike"  csve1c e
CSM1DC-247	巢穴球 nest ball item csm1dc a
CSM1aC-123	巢穴球 nest ball item csm1ac a
