id	type	name	number	attribute	image	quantity	equivalenceKey
4521	宝可梦	妙蛙种子	1	草	images/hk00004521.webp	0	宝可梦|妙蛙种子|||飞叶快刀|草,无|30|无||||||||||||
7191	宝可梦	妙蛙种子	1	草	images/hk00007191.webp	0	宝可梦|妙蛙种子|||藤鞭|草|10|无|飞叶快刀|草,无|20|无||||||||
7274	宝可梦	妙蛙种子	1	草	images/hk00007274.webp	0	宝可梦|妙蛙种子|||藤鞭|草|10|无|飞叶快刀|草,无|20|无||||||||
8867	宝可梦	妙蛙种子	1	草	images/hk00008867.webp	0	宝可梦|妙蛙种子|||寄生种子|草,无|20|将这只宝可梦恢复“20”HP。||||||||||||
9032	宝可梦	妙蛙种子	1	草	images/hk00009032.webp	0	宝可梦|妙蛙种子|||寄生种子|草,无|20|将这只宝可梦恢复“20”HP。||||||||||||
4522	宝可梦	妙蛙草	2	草	images/hk00004522.webp	0	宝可梦|妙蛙草|||飞叶快刀|草,无|30|无|剧毒之鞭|草,草,无,无|50|将对手的战斗宝可梦【中毒】与【混乱】。||||||||
7192	宝可梦	妙蛙草	2	草	images/hk00007192.webp	0	宝可梦|妙蛙草|||招集芳香|草|无|从自己的牌库选择最多2张宝可梦卡，在给对手看过后加入手牌。并且重洗牌库。|飞叶快刀|草,无,无|60|无||||||||
8868	宝可梦	妙蛙草	2	草	images/hk00008868.webp	0	宝可梦|妙蛙草|||寄生种子|草,无|30|将这只宝可梦恢复“20”HP。|藤鞭|草,草,无|80|无||||||||
9033	宝可梦	妙蛙草	2	草	images/hk00009033.webp	0	宝可梦|妙蛙草|||寄生种子|草,无|30|将这只宝可梦恢复“20”HP。|藤鞭|草,草,无|80|无||||||||
7194	宝可梦	光辉妙蛙花	3	草	images/hk00007194.webp	0	宝可梦|光辉妙蛙花|阳光绽放|在自己的回合结束时，可使用1次。从牌库抽卡直到自己的手牌满4张为止。|危险花粉|草,草,无|90|将对手的战斗宝可梦【中毒】，【灼伤】与【混乱】。||||||||||||
4523	宝可梦	妙蛙花	3	草	images/hk00004523.webp	0	宝可梦|妙蛙花|密林霸主|只要这只宝可梦在场上，自己的场上宝可梦身上所附加的基本【草】能量，视为各提供2个【草】能量。无论有多少只拥有这个特性的宝可梦，这个效果也不会重复。|日光束|草,草,无,无|90|无||||||||||||
7193	宝可梦	妙蛙花	3	草	images/hk00007193.webp	0	宝可梦|妙蛙花|晕晕捕捉器|在自己的回合时，可使用1次。掷1次硬币若为正面，则选择对手的1只备战宝可梦，与战斗宝可梦互换。然后，将新上场的宝可梦【中毒】与【睡眠】。|日光束|草,草,无,无|130|无||||||||||||
4157	宝可梦	妙蛙花&藤藤蛇GX	3	草	images/hk00004157.webp	0	宝可梦|妙蛙花&藤藤蛇GX|光辉青藤|在自己的回合，若这只宝可梦在战斗场上，每次从自己的手牌将【草】能量附于这只宝可梦身上时，都可使用1次。选择对手的1只备战宝可梦，与战斗宝可梦互换。|森林抛掷|草,无,无,无|160|无|花蛇添足GX|无,无,无|无|对手的所有宝可梦各受到50点伤害。若额外附有2个能量，则将自己的所有宝可梦的HP全部恢复。[在备战区不计算弱点・抵抗力。][对战中，己方只可使用1次GX招式。]||||||||
4325	宝可梦	妙蛙花&藤藤蛇GX	3	草	images/hk00004325.webp	0	宝可梦|妙蛙花&藤藤蛇GX|光辉青藤|在自己的回合，若这只宝可梦在战斗场上，每次从自己的手牌将【草】能量附于这只宝可梦身上时，都可使用1次。选择对手的1只备战宝可梦，与战斗宝可梦互换。|森林抛掷|草,无,无,无|160|无|花蛇添足GX|无,无,无|无|对手的所有宝可梦各受到50点伤害。若额外附有2个能量，则将自己的所有宝可梦的HP全部恢复。[在备战区不计算弱点・抵抗力。][对战中，己方只可使用1次GX招式。]||||||||
