#dtl1
CS3aC-110	身上放有这张卡牌的「一击」宝可梦，可以使用这张卡牌上的招式。[需要满足使用招式所需能量。]\n\n【斗】 怒发冲冠 10+\n追加造成放置于这只宝可梦身上的伤害指示物数量×10点伤害。				5ban Graphics	洪荒演武 茂	U		E	Single Strike Scroll of Scorn
CSVE1C-127	身上放有这张卡牌的「一击」宝可梦，可以使用这张卡牌上的招式。[需要满足使用招式所需能量。]\n\n【斗】 怒发冲冠 10+\n追加造成放置于这只宝可梦身上的伤害指示物数量×10点伤害。				5ban Graphics	对战派对 共梦	无标记		E	Single Strike Scroll of Scorn
CS4aC-122	身上放有这张卡牌的「一击」宝可梦，可以使用这张卡牌上的招式。[需要满足使用招式所需能量。]\n\n【斗】【钢】【钢】【无】【无】 刚力斩 300\n将附着于这只宝可梦身上的能量，全部放于弃牌区。				5ban Graphics	九彩汇聚 朋	U		E	Single Strike Scroll of the Fanged Dragon
CS3aC-111	身上放有这张卡牌的「一击」宝可梦，可以使用这张卡牌上的招式。[需要满足使用招式所需能量。]\n\n【火】【无】【无】 枪弹突破 120\n这个招式的伤害，不计算弱点、抗性以及对手战斗宝可梦身上所附加的效果。				5ban Graphics	洪荒演武 茂	U		E	Single Strike Scroll of Piercing
CSM2bC-134	身上放有这张卡牌的，拥有招式「撞击」的宝可梦，可以使用这张卡牌上的GX招式。[需要满足使用招式所需能量。]\n\n【无】【无】【无】【无】 冲刺攻击GX 200+\n抛掷硬币直到出现反面，追加造成正面次数×40点伤害。[对战中，己方的GX招式只能使用1次。]				5ban Graphics	交相辉映 魁	U		C	Normalium Z: Tackle
CSV1C-117	如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则身上放有这张卡牌的宝可梦所使用的招式，给对手的战斗宝可梦造成的伤害「+30」。				inose yukie	亘古开来	U		G	Defiance Band
CSV5C-164	如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则身上放有这张卡牌的宝可梦所使用的招式，给对手的战斗宝可梦造成的伤害「+30」。				inose yukie	黑晶炽诚	UR		G	Defiance Band
CSVE2C-169	如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则身上放有这张卡牌的宝可梦所使用的招式，给对手的战斗宝可梦造成的伤害「+30」。				inose yukie	对战派对 耀梦	无标记		G	Defiance Band
CSVH1aC-016	如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则身上放有这张卡牌的宝可梦使用的招式，给对手的战斗宝可梦造成的伤害「+30」。				inose yukie	嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 改造包	无标记		G	Defiance Band
CSVH2aC-016	如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则身上放有这张卡牌的宝可梦所使用的招式，给对手的战斗宝可梦造成的伤害「+30」。				inose yukie	嗨皮组合 路卡利欧&甲贺忍蛙&藏玛然特&獒教父 改造包	无标记		G	Defiance Band
CSVH3C-048	如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则身上放有这张卡牌的宝可梦所使用的招式，给对手的战斗宝可梦造成的伤害「+30」。				inose yukie	嗨皮卡组 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠	无标记		G	Defiance Band
CSVH3aC-015	如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则身上放有这张卡牌的宝可梦所使用的招式，给对手的战斗宝可梦造成的伤害「+30」。				inose yukie	嗨皮组合 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠 改造包	无标记		G	Defiance Band
CSVH4C-045	如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则身上放有这张卡牌的宝可梦所使用的招式，给对手的战斗宝可梦造成的伤害「+30」。				inose yukie	嗨皮卡组 狙射树枭&美录梅塔&故勒顿&密勒顿	无标记		G	Defiance Band
CSVM1aC-021	如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则身上放有这张卡牌的宝可梦所使用的招式，给对手的战斗宝可梦造成的伤害「+30」。				inose yukie	大师战略卡组构筑套装 喷火龙ex	无标记		G	Defiance Band
CSVM2bC-021	如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则身上放有这张卡牌的宝可梦所使用的招式，给对手的战斗宝可梦造成的伤害「+30」。				inose yukie	大师战略卡组构筑套装 多龙巴鲁托ex	无标记		G	Defiance Band
CSV4C-118	如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则身上放有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害「-40」。				Ayaka Yoshida	嘉奖回合	U		G	Defiance Vest
CS3.5C-058	身上放有这张卡牌的，名字中带有「伽勒尔」的宝可梦，受到对手宝可梦的招式的伤害「-30」。				inose yukie	怒炎灼天	U		E	Galarian Chestplate
CS4DaC-384	身上放有这张卡牌的，名字中带有「伽勒尔」的宝可梦，受到对手宝可梦的招式的伤害「-30」。				inose yukie	起始卡组100	无标记		E	Galarian Chestplate
CS4bC-120	身上放有这张卡牌的「宝可梦【VMAX】」，受到对手宝可梦的招式的伤害而【昏厥】时，选择自己牌库中任意1张卡牌，加入手牌。并重洗牌库。				AYUMI ODASHIMA	九彩汇聚 源	U		E	Farewell Bell
CS4.5C-053	身上放有这张卡牌的，名字中带有「水伊布V」或「雷伊布V」或「火伊布V」的宝可梦使用招式所需能量，减少1个【无】能量。				Studio Bora Inc.	终末炎舞	U		E	Elemental Badge
CSVE2C-164	身上放有这张卡牌的，名字中带有「水伊布V」或「雷伊布V」或「火伊布V」的宝可梦使用招式所需能量，减少1个【无】能量。				Studio Bora Inc.	对战派对 耀梦	无标记		E	Elemental Badge
CS4DaC-385	身上放有这张卡牌的宝可梦（除拥有特性的宝可梦外），受到对手宝可梦的招式的伤害「-20」。				AYUMI ODASHIMA	起始卡组100	无标记		E	Full Face Guard
CS4aC-124	身上放有这张卡牌的宝可梦（除拥有特性的宝可梦外），受到对手宝可梦的招式的伤害「-20」。				AYUMI ODASHIMA	九彩汇聚 朋	U		E	Full Face Guard
CS4aC-181	身上放有这张卡牌的宝可梦（除拥有特性的宝可梦外），受到对手宝可梦的招式的伤害「-20」。				AYUMI ODASHIMA	九彩汇聚 朋	UR		E	Full Face Guard
CS5DC-137	身上放有这张卡牌的宝可梦（除拥有特性的宝可梦外），受到对手宝可梦的招式的伤害「-20」。				AYUMI ODASHIMA	起始卡组 勇魅群星V	无标记		E	Full Face Guard
CSM1DC-271	身上放有这张卡牌的宝可梦【撤退】时，其【撤退】所需能量不会被放于弃牌区，而是会被放回手牌。				Eske Yoshinob	起始卡组 横空出世GX	无标记		A	Dashing Pouch
CSM1bC-130	身上放有这张卡牌的宝可梦【撤退】时，其【撤退】所需能量不会被放于弃牌区，而是会被放回手牌。				Eske Yoshinob	横空出世 苍	U		A	Dashing Pouch
CSM2DC-283	身上放有这张卡牌的宝可梦【撤退】时，其【撤退】所需能量不会被放于弃牌区，而是会被放回手牌。				Eske Yoshinob	起始卡组 交相辉映GX	无标记		A	Dashing Pouch
CSMPcC-018	身上放有这张卡牌的宝可梦【撤退】时，其【撤退】所需能量不会被放于弃牌区，而是会被放回手牌。				Eske Yoshinob	对战派对组合 水	无标记		A	Dashing Pouch
CS2bC-107	身上放有这张卡牌的宝可梦，在战斗场上受到对手宝可梦的招式的伤害时，给使用了招式的宝可梦身上放置2个伤害指示物。				Studio Bora Inc.	浓墨重彩 靛	U		D	Rocky Helmet
CS3DC-146	身上放有这张卡牌的宝可梦，在战斗场上受到对手宝可梦的招式的伤害时，给使用了招式的宝可梦身上放置2个伤害指示物。				Studio Bora Inc.	起始卡组 洪荒演武V	无标记		D	Rocky Helmet
CSV2C-116	身上放有这张卡牌的宝可梦，在战斗场上受到对手宝可梦的招式的伤害时，给使用了招式的宝可梦身上放置2个伤害指示物。				Ayaka Yoshida	奇迹启程	U		G	Rocky Helmet
CSVE2C-167	身上放有这张卡牌的宝可梦，在战斗场上受到对手宝可梦的招式的伤害时，给使用了招式的宝可梦身上放置2个伤害指示物。				Ayaka Yoshida	对战派对 耀梦	无标记		G	Rocky Helmet
CSVH3aC-013	身上放有这张卡牌的宝可梦，在战斗场上受到对手宝可梦的招式的伤害时，给使用了招式的宝可梦身上放置2个伤害指示物。				Ayaka Yoshida	嗨皮组合 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠 改造包	无标记		G	Rocky Helmet
CSV9C-193	身上放有这张卡牌的宝可梦，受到对手【恶】宝可梦的招式的伤害时，那个伤害「-60」，将这张卡牌放于弃牌区。				Studio Bora Inc.	星彩晶璃	U		H	Colbur Berry
CSV8C-188	在自己的回合结束时，如果身上放有这张卡牌的宝可梦在战斗场上的话，则可选择自己弃牌区中的1张基本能量，附着于那只宝可梦身上。				Studio Bora Inc.	璀璨诡幻	U		H	Powerglass
CSV9C-265	在自己的回合结束时，如果身上放有这张卡牌的宝可梦在战斗场上的话，则可选择自己弃牌区中的1张基本能量，附着于那只宝可梦身上。				Studio Bora Inc.	星彩晶璃	UR		H	Powerglass
CSVH5aC-014	在自己的回合结束时，如果身上放有这张卡牌的宝可梦在战斗场上的话，则可选择自己弃牌区中的1张基本能量，附着于那只宝可梦身上。				Studio Bora Inc.	嗨皮组合 快龙&超梦&喷火驼&来悲粗茶 改造包	无标记		H	Powerglass
CSV10C-200	身上放有这张卡牌的「竹兰的宝可梦」的最大HP「+70」。				Studio Bora Inc.	共逐荣光	U		I	
CSV1C-118	身上放有这张卡牌的【基础】宝可梦的最大HP「+50」。				Toyste Beach	亘古开来	U		G	Bravery Charm
CSV8C-260	身上放有这张卡牌的【基础】宝可梦的最大HP「+50」。				Toyste Beach	璀璨诡幻	UR		G	Bravery Charm
CSVE2C-170	身上放有这张卡牌的【基础】宝可梦的最大HP「+50」。				Toyste Beach	对战派对 耀梦	无标记		G	Bravery Charm
CSVE2pC-010	身上放有这张卡牌的【基础】宝可梦的最大HP「+50」。				Toyste Beach	对战派对 耀梦 奖赏包	无标记		G	Bravery Charm
CSVH1aC-017	身上放有这张卡牌的【基础】宝可梦的最大HP「+50」。				Toyste Beach	嗨皮组合 皮卡丘&皮皮&草苗龟&索财灵 改造包	无标记		G	Bravery Charm
CSVH3C-049	身上放有这张卡牌的【基础】宝可梦的最大HP「+50」。				Toyste Beach	嗨皮卡组 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠	无标记		G	Bravery Charm
CSVH4aC-014	身上放有这张卡牌的【基础】宝可梦的最大HP「+50」。				Toyste Beach	嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 改造包	无标记		G	Bravery Charm
CSVH5aC-016	身上放有这张卡牌的【基础】宝可梦的最大HP「+50」。				Toyste Beach	嗨皮组合 快龙&超梦&喷火驼&来悲粗茶 改造包	无标记		G	Bravery Charm
CSVM1bC-024	身上放有这张卡牌的【基础】宝可梦的最大HP「+50」。				Toyste Beach	大师战略卡组构筑套装 沙奈朵ex	无标记		G	Bravery Charm
CSVM1cC-021	身上放有这张卡牌的【基础】宝可梦的最大HP「+50」。				Toyste Beach	大师战略卡组构筑套装 密勒顿ex	无标记		G	Bravery Charm
CSVM2aC-024	身上放有这张卡牌的【基础】宝可梦的最大HP「+50」。				Toyste Beach	大师战略卡组构筑套装 猛雷鼓ex	无标记		G	Bravery Charm
SVP-295	身上放有这张卡牌的【基础】宝可梦的最大HP「+50」。				Toyste Beach		无标记		G	Bravery Charm
CSV7C-184	身上放有这张卡牌的宝可梦，受到对手【水】宝可梦的招式的伤害时，那个伤害「-60」，将这张卡牌放于弃牌区。				Studio Bora Inc.	利刃猛醒	U		H	Passho Berry
CSM1DC-267	如果自己的剩余奖赏卡张数，比对手多的话，则放有这张卡牌的宝可梦使用招式所需能量，减少1个【无】能量。				Toyste Beach	起始卡组 横空出世GX	无标记		B	Counter Gain
CSM1bC-128	如果自己的剩余奖赏卡张数，比对手多的话，则放有这张卡牌的宝可梦使用招式所需能量，减少1个【无】能量。				Toyste Beach	横空出世 苍	U		B	Counter Gain
CSM2DC-276	如果自己的剩余奖赏卡张数，比对手多的话，则放有这张卡牌的宝可梦使用招式所需能量，减少1个【无】能量。				Toyste Beach	起始卡组 交相辉映GX	无标记		B	Counter Gain
CSM2DC-357	如果自己的剩余奖赏卡张数，比对手多的话，则放有这张卡牌的宝可梦使用招式所需能量，减少1个【无】能量。				Toyste Beach	起始卡组 交相辉映GX	无标记		B	Counter Gain
CSV9C-190	如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则身上放有这张卡牌的宝可梦使用招式所需能量，减少1个【无】能量。				Toyste Beach	星彩晶璃	U		H	Counter Gain
CSV9C-264	如果自己的剩余奖赏卡张数，比对手的剩余奖赏卡张数多的话，则身上放有这张卡牌的宝可梦使用招式所需能量，减少1个【无】能量。				Toyste Beach	星彩晶璃	UR		H	Counter Gain
CS5bC-120	身上放有这张卡牌的「宝可梦【VSTAR】・【VMAX】」，当对手从手牌使出支援者时，不受其效果影响。				Studio Bora Inc.	勇魅群星 勇	U		F	Leafy Camo Poncho
CS5bC-177	身上放有这张卡牌的「宝可梦【VSTAR】・【VMAX】」，当对手从手牌使出支援者时，不受其效果影响。				Studio Bora Inc.	勇魅群星 勇	UR		F	Leafy Camo Poncho
CSVE1C-134	身上放有这张卡牌的「宝可梦【VSTAR】・【VMAX】」，当对手从手牌使出支援者时，不受其效果影响。				Studio Bora Inc.	对战派对 共梦	无标记		F	Leafy Camo Poncho
CSV2C-117	在自己的回合结束时，如果身上放有这张卡牌的宝可梦在战斗场上的话，则回复该宝可梦「20」HP。				Studio Bora Inc.	奇迹启程	U		G	Leftovers
CSVE1C-133	在自己的回合结束时，如果身上放有这张卡牌的宝可梦在战斗场上的话，则回复该宝可梦「20」HP。				Studio Bora Inc.	对战派对 共梦	无标记		G	Leftovers
CSVH2aC-014	在自己的回合结束时，如果身上放有这张卡牌的宝可梦在战斗场上的话，则回复该宝可梦「20」HP。				Studio Bora Inc.	嗨皮组合 路卡利欧&甲贺忍蛙&藏玛然特&獒教父 改造包	无标记		G	Leftovers
CSVH3aC-014	在自己的回合结束时，如果身上放有这张卡牌的宝可梦在战斗场上的话，则回复该宝可梦「20」HP。				Studio Bora Inc.	嗨皮组合 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠 改造包	无标记		G	Leftovers
CSM1aC-133	身上放有这张卡牌的【超】宝可梦，受到对手招式的伤害而【昏厥】时，将4个伤害指示物，以任意方式放置于对手的宝可梦身上。				Ayaka Yoshida	横空出世 赫	U		B	Spell Tag
CSM2DC-286	身上放有这张卡牌的【超】宝可梦，受到对手招式的伤害而【昏厥】时，将4个伤害指示物，以任意方式放置于对手的宝可梦身上。				Ayaka Yoshida	起始卡组 交相辉映GX	无标记		B	Spell Tag
CSMPeC-015	身上放有这张卡牌的【超】宝可梦，受到对手招式的伤害而【昏厥】时，将4个伤害指示物，以任意方式放置于对手的宝可梦身上。				Ayaka Yoshida	对战派对组合 超	无标记		B	Spell Tag
CS1aC-128	身上放有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，将对手牌库上方的2张卡牌放于弃牌区。				Toyste Beach	极巨争锋 雷	U		D	Cursed Shovel
CSV5C-117	身上放有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，在不看正面的前提下，选择对手的1张手牌，放于弃牌区。				AYUMI ODASHIMA	黑晶炽诚	U		G	Cursed Duster
CSVE2C-168	身上放有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，在不看正面的前提下，选择对手的1张手牌，放于弃牌区。				AYUMI ODASHIMA	对战派对 耀梦	无标记		G	Cursed Duster
CSVH5aC-015	身上放有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，在不看正面的前提下，选择对手的1张手牌，放于弃牌区。				AYUMI ODASHIMA	嗨皮组合 快龙&超梦&喷火驼&来悲粗茶 改造包	无标记		G	Cursed Duster
CS2.5C-050	身上放有这张卡牌的宝可梦，可以使用所有进化前拥有的招式。[需要满足使用招式所需能量。]				sadaji	璀璨反击	U		D	Memory Capsule
CS2.5C-079	身上放有这张卡牌的宝可梦，可以使用所有进化前拥有的招式。[需要满足使用招式所需能量。]				sadaji	璀璨反击	UR		D	Memory Capsule
CSM2DC-289	身上放有这张卡牌的宝可梦，【撤退】所需能量减少1个。\n\n当这张卡牌，要被从场上放于弃牌区时，不会被放于弃牌区，而是被放回手牌。				sadaji	起始卡组 交相辉映GX	无标记		C	U-Turn Board
CSM2aC-139	身上放有这张卡牌的宝可梦，【撤退】所需能量减少1个。\n\n当这张卡牌，要被从场上放于弃牌区时，不会被放于弃牌区，而是被放回手牌。				sadaji	交相辉映 沐	U		C	U-Turn Board
CSM2aC-192	身上放有这张卡牌的宝可梦，【撤退】所需能量减少1个。\n\n当这张卡牌，要被从场上放于弃牌区时，不会被放于弃牌区，而是被放回手牌。				sadaji	交相辉映 沐	UR		C	U-Turn Board
CSV2C-114	身上放有这张卡牌的【1阶进化】宝可梦，受到对手宝可梦的招式的伤害「-30」。				Toyste Beach	奇迹启程	U		G	Rigid Band
CSVE2C-166	身上放有这张卡牌的【1阶进化】宝可梦，受到对手宝可梦的招式的伤害「-30」。				Toyste Beach	对战派对 耀梦	无标记		G	Rigid Band
CSVH2C-049	身上放有这张卡牌的【1阶进化】宝可梦，受到对手宝可梦的招式的伤害「-30」。				Toyste Beach	嗨皮组合 路卡利欧&甲贺忍蛙&藏玛然特&獒教父	无标记		G	Rigid Band
CSVM2cC-022	身上放有这张卡牌的【1阶进化】宝可梦，受到对手宝可梦的招式的伤害「-30」。				Toyste Beach	大师战略卡组构筑套装 赛富豪ex	无标记		G	Rigid Band
CS2aC-105	身上放有这张卡牌的【基础】宝可梦（除「宝可梦GX」外）的最大HP增加「50」点。				inose yukie	浓墨重彩 黎	U		D	Cape of Toughness
CS2aC-143	身上放有这张卡牌的【基础】宝可梦（除「宝可梦GX」外）的最大HP增加「50」点。				inose yukie	浓墨重彩 黎	UR		D	Cape of Toughness
CSV3C-120	身上放有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，给使用了招式的宝可梦身上放置4个伤害指示物。				Ayaka Yoshida	无畏太晶	U		G	Vengeful Punch
CSVE2C-171	身上放有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，给使用了招式的宝可梦身上放置4个伤害指示物。				Ayaka Yoshida	对战派对 耀梦	无标记		G	Vengeful Punch
CSVH2aC-017	身上放有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，给使用了招式的宝可梦身上放置4个伤害指示物。				Ayaka Yoshida	嗨皮组合 路卡利欧&甲贺忍蛙&藏玛然特&獒教父 改造包	无标记		G	Vengeful Punch
CSVH3aC-016	身上放有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，给使用了招式的宝可梦身上放置4个伤害指示物。				Ayaka Yoshida	嗨皮组合 七夕青鸟&拉帝欧斯&烈焰猴&一家鼠 改造包	无标记		G	Vengeful Punch
CSVH4aC-015	身上放有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，给使用了招式的宝可梦身上放置4个伤害指示物。				Ayaka Yoshida	嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 改造包	无标记		G	Vengeful Punch
CSVM1aC-023	身上放有这张卡牌的宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，给使用了招式的宝可梦身上放置4个伤害指示物。				Ayaka Yoshida	大师战略卡组构筑套装 喷火龙ex	无标记		G	Vengeful Punch
CS6bC-124	身上放有这张卡牌的「宝可梦V」，可以使用这个【VSTAR】力量。\n\n【无】【无】【无】星耀重力\n在对手的所有「宝可梦V」身上放置伤害指示物，直到其剩余HP均变为「100」点为止。[对战中，己方的【VSTAR】力量只能使用1次。]				AYUMI ODASHIMA	碧海暗影 逐	R		F	Earthen Seal Stone
CS1DC-185	身上放有这张卡牌的宝可梦的最大HP增加「30」点。				inose yukie	起始卡组 极巨争锋V	无标记		D	Big Charm
CS1aC-125	身上放有这张卡牌的宝可梦的最大HP增加「30」点。				inose yukie	极巨争锋 雷	U		D	Big Charm
CS1aC-216	身上放有这张卡牌的宝可梦的最大HP增加「30」点。				inose yukie	极巨争锋 雷	UR		D	Big Charm
CSAC-016	身上放有这张卡牌的宝可梦的最大HP增加「30」点。				inose yukie	卡组构筑礼盒 极巨争锋	无标记		D	Big Charm
CSV3C-119	身上放有这张卡牌的【2阶进化】宝可梦【撤退】所需能量，全部消除。				Toyste Beach	无畏太晶	U		G	Big Air Balloon
CS1bC-127	只要身上放有这张卡牌的宝可梦在战斗场上，自己的所有宝可梦，不会受到对手宝可梦使用的招式的效果影响。（已经受到的效果，不会消失。）				Toyste Beach	极巨争锋 焰	U		D	Big Parasol
CS1bC-196	只要身上放有这张卡牌的宝可梦在战斗场上，自己的所有宝可梦，不会受到对手宝可梦使用的招式的效果影响。（已经受到的效果，不会消失。）				Toyste Beach	极巨争锋 焰	UR		D	Big Parasol
CS2.1C-005	只要身上放有这张卡牌的宝可梦在战斗场上，自己的所有宝可梦，不会受到对手宝可梦使用的招式的效果影响。（已经受到的效果，不会消失。）				Toyste Beach	专题包 喵喵小妙招	无标记		D	Big Parasol
CS6aC-123	身上放有这张卡牌的「宝可梦V」，可以使用这个【VSTAR】力量。\n\n[特性] 星耀指令\n在自己的回合可以使用。在这个回合，如果因为自己【基础】宝可梦的「宝可梦V」所使用的招式的伤害，而导致对手战斗场上的「宝可梦【VSTAR】・【VMAX】」【昏厥】了的话，则多拿取1张奖赏卡。[对战中，己方的【VSTAR】力量只能使用1次。]				AYUMI ODASHIMA	碧海暗影 啸	R		F	Sky Seal Stone
CSM2.5C-050	身上放有这张卡牌的【妖】宝可梦，不会受到对手【雷】属性的「宝可梦GX・EX」的招式的伤害。				Toyste Beach	炫奇争胜	U		C	Fairy Charm Lightning
CSM2cC-136	身上放有这张卡牌的【妖】宝可梦，不会受到对手拥有特性的「宝可梦GX・EX」的招式的伤害。				Toyste Beach	交相辉映 唤	U		C	Fairy Charm Ability
CSM1.5C-042	身上放有这张卡牌的【妖】宝可梦，不会受到对手「究极异兽」的「宝可梦GX・EX」的招式的伤害。				Toyste Beach	对战精英	U		B	Fairy Charm UB
CSM1.5C-043	身上放有这张卡牌的【妖】宝可梦，不会受到对手【斗】属性的「宝可梦GX・EX」的招式的伤害。				Toyste Beach	对战精英	U		B	Fairy Charm Fighting
CSM1cC-133	身上放有这张卡牌的【妖】宝可梦，不会受到对手【草】属性的「宝可梦GX・EX」的招式的伤害。				Toyste Beach	横空出世 泽	U		B	Fairy Charm Grass
CSM1cC-134	身上放有这张卡牌的【妖】宝可梦，不会受到对手【超】属性的「宝可梦GX・EX」的招式的伤害。				Toyste Beach	横空出世 泽	U		B	Fairy Charm Psychic
CSM1cC-135	身上放有这张卡牌的【妖】宝可梦，不会受到对手【龙】属性的「宝可梦GX・EX」的招式的伤害。				Toyste Beach	横空出世 泽	U		B	Fairy Charm Dragon
CSM1DC-268	每当自己的战斗宝可梦，受到对手的招式伤害而【昏厥】时，可将附着于该宝可梦身上的1张基本能量，转附于身上放有这张卡牌的宝可梦身上。				Toyste Beach	起始卡组 横空出世GX	无标记		A	Exp. Share
CSM1aC-130	每当自己的战斗宝可梦，受到对手的招式伤害而【昏厥】时，可将附着于该宝可梦身上的1张基本能量，转附于身上放有这张卡牌的宝可梦身上。				Toyste Beach	横空出世 赫	U		A	Exp. Share
CSM2DC-277	每当自己的战斗宝可梦，受到对手的招式伤害而【昏厥】时，可将附着于该宝可梦身上的1张基本能量，转附于身上放有这张卡牌的宝可梦身上。				Toyste Beach	起始卡组 交相辉映GX	无标记		A	Exp. Share
CSMPgC-016	每当自己的战斗宝可梦，受到对手的招式伤害而【昏厥】时，可将附着于该宝可梦身上的1张基本能量，转附于身上放有这张卡牌的宝可梦身上。				Toyste Beach	对战派对组合 恶	无标记		A	Exp. Share
CSMPnC-008	每当自己的战斗宝可梦，受到对手的招式伤害而【昏厥】时，可将附着于该宝可梦身上的1张基本能量，转附于身上放有这张卡牌的宝可梦身上。				Toyste Beach	对战派对组合改造包 超	无标记		A	Exp. Share
CS3DC-144	每当自己的战斗宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，可选择附着于该战斗宝可梦身上的1张基本能量，转附于身上放有这张卡牌的宝可梦身上。				Toyste Beach	起始卡组 洪荒演武V	无标记		E	Exp. Share
CS3aC-112	每当自己的战斗宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，可选择附着于该战斗宝可梦身上的1张基本能量，转附于身上放有这张卡牌的宝可梦身上。				Toyste Beach	洪荒演武 茂	U		E	Exp. Share
CS3aC-183	每当自己的战斗宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，可选择附着于该战斗宝可梦身上的1张基本能量，转附于身上放有这张卡牌的宝可梦身上。				Toyste Beach	洪荒演武 茂	UR		E	Exp. Share
CS4DaC-383	每当自己的战斗宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，可选择附着于该战斗宝可梦身上的1张基本能量，转附于身上放有这张卡牌的宝可梦身上。				Toyste Beach	起始卡组100	无标记		E	Exp. Share
CS5DC-134	每当自己的战斗宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，可选择附着于该战斗宝可梦身上的1张基本能量，转附于身上放有这张卡牌的宝可梦身上。				Toyste Beach	起始卡组 勇魅群星V	无标记		E	Exp. Share
CSBC-013	每当自己的战斗宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，可选择附着于该战斗宝可梦身上的1张基本能量，转附于身上放有这张卡牌的宝可梦身上。				Toyste Beach	卡组构筑礼盒 洪荒演武 茂	无标记		E	Exp. Share
CSV1C-115	每当自己的战斗宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，可选择该战斗宝可梦身上附着的1张基本能量，转附于身上放有这张卡牌的宝可梦身上。				Toyste Beach	亘古开来	U		G	Exp. Share
CSVE1C-129	每当自己的战斗宝可梦，受到对手宝可梦的招式的伤害而【昏厥】时，可选择该战斗宝可梦身上附着的1张基本能量，转附于身上放有这张卡牌的宝可梦身上。				Toyste Beach	对战派对 共梦	无标记		G	Exp. Share
