#srch1
CS3aC-110	一击卷轴 愤怒之卷 single strike scroll of scorn tool  "single strike"  cs3ac e
CSVE1C-127	一击卷轴 愤怒之卷 single strike scroll of scorn tool  "single strike"  csve1c e
CS4aC-122	一击卷轴 牙龙之卷 single strike scroll of the fanged dragon tool  "single strike"  cs4ac e
CS3aC-111	一击卷轴 贯通之卷 single strike scroll of piercing tool  "single strike"  cs3ac e
CSM2bC-134	一般z 撞击 normalium z  tackle tool csm2bc c
CSV1C-117	不服输头带 defiance band tool csv1c g
CSV5C-164	不服输头带 defiance band tool csv5c g
CSVE2C-169	不服输头带 defiance band tool csve2c g
CSVH1aC-016	不服输头带 defiance band tool  "single strike"  csvh1ac g
CSVH2aC-016	不服输头带 defiance band tool csvh2ac g
CSVH3C-048	不服输头带 defiance band tool csvh3c g
CSVH3aC-015	不服输头带 defiance band tool csvh3ac g
CSVH4C-045	不服输头带 defiance band tool csvh4c g
CSVM1aC-021	不服输头带 defiance band tool csvm1ac g
CSVM2bC-021	不服输头带 defiance band tool csvm2bc g
CSV4C-118	不服输背心 defiance vest tool csv4c g
CS3.5C-058	伽勒尔胸甲 galarian chestplate tool cs3 5c e
CS4DaC-384	伽勒尔胸甲 galarian chestplate tool cs4dac e
CS4bC-120	余音大铃铛 farewell bell tool cs4bc e
CS4.5C-053	元素徽章 elemental badge tool cs4 5c e
CSVE2C-164	元素徽章 elemental badge tool csve2c e
CS4DaC-385	全罩防守 full face guard tool cs4dac e
CS4aC-124	全罩防守 full face guard tool cs4ac e
CS4aC-181	全罩防守 full face guard tool cs4ac e
CS5DC-137	全罩防守 full face guard tool cs5dc e
CSM1DC-271	冲刺腰包 dashing pouch tool csm1dc a
CSM1bC-130	冲刺腰包 dashing pouch tool csm1bc a
CSM2DC-283	冲刺腰包 dashing pouch tool csm2dc a
CSMPcC-018	冲刺腰包 dashing pouch tool csmpcc a
CS2bC-107	凸凸头盔 rocky helmet tool cs2bc d
CS3DC-146	凸凸头盔 rocky helmet tool cs3dc d
CSV2C-116	凸凸头盔 rocky helmet tool csv2c g
CSVE2C-167	凸凸头盔 rocky helmet tool csve2c g
CSVH3aC-013	凸凸头盔 rocky helmet tool csvh3ac g
CSV9C-193	刺耳果 colbur berry tool csv9c h
CSV8C-188	力之沙漏 powerglass tool csv8c h
CSV9C-265	力之沙漏 powerglass tool csv9c h
CSVH5aC-014	力之沙漏 powerglass tool csvh5ac h
CSV1C-118	勇气护符 bravery charm tool csv1c g
CSV8C-260	勇气护符 bravery charm tool csv8c g
CSVE2C-170	勇气护符 bravery charm tool csve2c g
CSVE2pC-010	勇气护符 bravery charm tool csve2pc g
CSVH1aC-017	勇气护符 bravery charm tool  "single strike"  csvh1ac g
CSVH3C-049	勇气护符 bravery charm tool csvh3c g
CSVH4aC-014	勇气护符 bravery charm tool csvh4ac g
CSVH5aC-016	勇气护符 bravery charm tool csvh5ac g
CSVM1bC-024	勇气护符 bravery charm tool csvm1bc g
CSVM1cC-021	勇气护符 bravery charm tool csvm1cc g
CSVM2aC-024	勇气护符 bravery charm tool csvm2ac g
