#dtl1
CSM1DC-001	【草】 飞叶快刀 30\n\n\n		R×2		Mizue	起始卡组 横空出世GX	无标记		A	Bulbasaur
CSMPaC-002	【草】 飞叶快刀 30\n\n\n		R×2		Mizue	对战派对组合 草	无标记		A	Bulbasaur
CS5bC-001	【草】 藤鞭 10\n\n\n【草】 飞叶快刀 20\n\n\n		R×2		saino misaki	勇魅群星 勇	C		F	Bulbasaur
CSVE2C-001	【草】 藤鞭 10\n\n\n【草】 飞叶快刀 20\n\n\n		R×2		saino misaki	对战派对 耀梦	无标记		F	Bulbasaur
151C-001	【草】 寄生种子 20\n回复这只宝可梦「20」HP。\n\n		R×2		Yuu Nishida	收集啦151	C		G	Bulbasaur
CSVE1C-001	【草】 寄生种子 20\n回复这只宝可梦「20」HP。\n\n		R×2		Yuu Nishida	对战派对 共梦	无标记		G	Bulbasaur
CSVL1C-086	【草】 寄生种子 20\n回复这只宝可梦「20」HP。\n\n		R×2		Yoriyuki Ikegami	启程专题包	无标记		G	Bulbasaur
SVP-066	【草】 藤鞭 50\n\n\n		R×2		OKACHEKE		无标记		G	Bulbasaur
SVP-069	【草】 藤鞭 50\n\n\n		R×2		OKACHEKE		无标记		G	Bulbasaur
SVP-097	【草】 寄生种子 20\n回复这只宝可梦「20」HP。\n\n		R×2		Orca		无标记		G	Bulbasaur
30thP-001	【草】 寄生种子 10\n回复这只宝可梦「10」HP。\n\n		R×2		Saboteri		无标记		J	
CSM1DC-002	【草】 飞叶快刀 30\n\n\n【草】【草】 剧毒之鞭 50\n使对手的战斗宝可梦陷入【中毒】和【混乱】状态。\n\n	妙蛙种子	R×2		Kouki Saitou	起始卡组 横空出世GX	无标记		A	Ivysaur
CSMPaC-003	【草】 飞叶快刀 30\n\n\n【草】【草】 剧毒之鞭 50\n使对手的战斗宝可梦陷入【中毒】和【混乱】状态。\n\n	妙蛙种子	R×2		Kouki Saitou	对战派对组合 草	无标记		A	Ivysaur
CS5bC-002	【草】 引诱香氛 \n选择自己牌库中最多2张宝可梦，在给对手看过之后，加入手牌。并重洗牌库。\n\n【草】 飞叶快刀 60\n\n\n	妙蛙种子	R×2		Atsuya Uki	勇魅群星 勇	U		F	Ivysaur
CSVE2C-002	【草】 引诱香氛 \n选择自己牌库中最多2张宝可梦，在给对手看过之后，加入手牌。并重洗牌库。\n\n【草】 飞叶快刀 60\n\n\n	妙蛙种子	R×2		Atsuya Uki	对战派对 耀梦	无标记		F	Ivysaur
151C-002	【草】 寄生种子 30\n回复这只宝可梦「20」HP。\n\n【草】【草】 藤鞭 80\n\n\n	妙蛙种子	R×2		Yuu Nishida	收集啦151	U		G	Ivysaur
CSVE1C-002	【草】 寄生种子 30\n回复这只宝可梦「20」HP。\n\n【草】【草】 藤鞭 80\n\n\n	妙蛙种子	R×2		Yuu Nishida	对战派对 共梦	无标记		G	Ivysaur
CSVL1C-087	【草】 寄生种子 30\n回复这只宝可梦「20」HP。\n\n【草】【草】 藤鞭 80\n\n\n	妙蛙种子	R×2		Yoriyuki Ikegami	启程专题包	无标记		G	Ivysaur
CS5bC-004	特性: 阳光绽放\n在自己的回合结束时可以使用1次。从牌库上方抽取卡牌，直到自己的手牌变为4张为止。\n\n【草】【草】 危险花粉 90\n使对手的战斗宝可梦陷入【中毒】和【灼伤】和【混乱】状态。\n\n		R×2		Kouki Saitou	勇魅群星 勇	K	Radiant	F	Radiant Venusaur
CSM1DC-003	特性: 密林霸主\n只要这只宝可梦在场上，附着于自己场上宝可梦身上的所有基本【草】能量，各被视作2个【草】能量。这个效果，无论拥有这个特性的宝可梦有多少只，都不会叠加。\n\n【草】【草】 日光束 90\n\n\n	妙蛙草	R×2		Eske Yoshinob	起始卡组 横空出世GX	无标记		A	Venusaur
CSMPaC-004	特性: 密林霸主\n只要这只宝可梦在场上，附着于自己场上宝可梦身上的所有基本【草】能量，各被视作2个【草】能量。这个效果，无论拥有这个特性的宝可梦有多少只，都不会叠加。\n\n【草】【草】 日光束 90\n\n\n	妙蛙草	R×2		Eske Yoshinob	对战派对组合 草	无标记		A	Venusaur
CS5bC-003	特性: 眩晕捕捉\n在自己的回合可以使用1次。抛掷1次硬币如果为正面，则选择对手的1只备战宝可梦，将其与战斗宝可梦互换。然后，使新出场的宝可梦陷入【中毒】和【睡眠】状态。\n\n【草】【草】 日光束 130\n\n\n	妙蛙草	R×2		kawayoo	勇魅群星 勇	R		F	Venusaur
CSVE2C-003	特性: 眩晕捕捉\n在自己的回合可以使用1次。抛掷1次硬币如果为正面，则选择对手的1只备战宝可梦，将其与战斗宝可梦互换。然后，使新出场的宝可梦陷入【中毒】和【睡眠】状态。\n\n【草】【草】 日光束 130\n\n\n	妙蛙草	R×2		kawayoo	对战派对 耀梦	无标记		F	Venusaur
151C-003	特性: 安抚之花\n如果这只宝可梦在战斗场上的话，则在自己的回合可以使用1次。回复自己1只宝可梦「60」HP。\n\n【草】【草】 剧毒鞭打 150\n令对手的战斗宝可梦陷入【中毒】和【混乱】状态。\n\n	妙蛙草	R×2		5ban Graphics	收集啦151	RR	ex	G	Venusaur ex
151C-174	特性: 安抚之花\n如果这只宝可梦在战斗场上的话，则在自己的回合可以使用1次。回复自己1只宝可梦「60」HP。\n\n【草】【草】 剧毒鞭打 150\n令对手的战斗宝可梦陷入【中毒】和【混乱】状态。\n\n	妙蛙草	R×2		PLANETA Yamashita	收集啦151	SR	ex	G	Venusaur ex
CSVE1C-003	特性: 安抚之花\n如果这只宝可梦在战斗场上的话，则在自己的回合可以使用1次。回复自己1只宝可梦「60」HP。\n\n【草】【草】 剧毒鞭打 150\n令对手的战斗宝可梦陷入【中毒】和【混乱】状态。\n\n	妙蛙草	R×2		5ban Graphics	对战派对 共梦	无标记	ex	G	Venusaur ex
CSVE1pC-001	特性: 安抚之花\n如果这只宝可梦在战斗场上的话，则在自己的回合可以使用1次。回复自己1只宝可梦「60」HP。\n\n【草】【草】 剧毒鞭打 150\n令对手的战斗宝可梦陷入【中毒】和【混乱】状态。\n\n	妙蛙草	R×2		Saki Hayashiro	对战派对 共梦 奖赏包	无标记	ex	G	Venusaur ex
CSVL1C-001	特性: 安抚之花\n如果这只宝可梦在战斗场上的话，则在自己的回合可以使用1次。回复自己1只宝可梦「60」HP。\n\n【草】【草】 剧毒鞭打 150\n令对手的战斗宝可梦陷入【中毒】和【混乱】状态。\n\n	妙蛙草	R×2		5ban Graphics	启程专题包	无标记	ex	G	Venusaur ex
CSVL1C-119	特性: 安抚之花\n如果这只宝可梦在战斗场上的话，则在自己的回合可以使用1次。回复自己1只宝可梦「60」HP。\n\n【草】【草】 剧毒鞭打 150\n令对手的战斗宝可梦陷入【中毒】和【混乱】状态。\n\n	妙蛙草	R×2		Yoriyuki Ikegami	启程专题包	无标记	ex	G	Venusaur ex
CS1DC-001	【草】【草】 花粉炸弹 80\n使对手的战斗宝可梦陷入【中毒】和【睡眠】状态。\n\n【草】【草】【草】 日光台风 220\n在下一个自己的回合，这只宝可梦无法使用「日光台风」。\n\n		R×2		PLANETA Mochizuki	起始卡组 极巨争锋V	无标记	V	D	Venusaur V
CS3aC-001	【草】 绿叶吸取 50\n回复这只宝可梦「30」点HP。\n\n【草】【草】 舍身冲撞 190\n给这只宝可梦也造成30点伤害。\n\n		R×2		aky CG Works	洪荒演武 茂	RR	V	E	Venusaur V
CS3aC-130	【草】 绿叶吸取 50\n回复这只宝可梦「30」点HP。\n\n【草】【草】 舍身冲撞 190\n给这只宝可梦也造成30点伤害。\n\n		R×2		PLANETA Igarashi	洪荒演武 茂	SR	V	E	Venusaur V
CS4DaC-001	【草】 绿叶吸取 50\n回复这只宝可梦「30」点HP。\n\n【草】【草】 舍身冲撞 190\n给这只宝可梦也造成30点伤害。\n\n		R×2		aky CG Works	起始卡组100	无标记	V	E	Venusaur V
CS3aC-002	 森林风暴 30×\n造成自己场上宝可梦身上附有的【草】能量数量×30点伤害。\n\n【草】【草】 超极巨八荒花茂 210\n回复这只宝可梦「30」点HP。\n\n	妙蛙花V	R×2		aky CG Works	洪荒演武 茂	RRR	V	E	Venusaur VMAX
