#srch1
CSM1DC-001	妙蛙种子 bulbasaur pokemon g basic csm1dc a  草  飞叶快刀 30\n\n\n 飞叶快刀 gc 30
CSMPaC-002	妙蛙种子 bulbasaur pokemon g basic csmpac a  草  飞叶快刀 30\n\n\n 飞叶快刀 gc 30
CS5bC-001	妙蛙种子 bulbasaur pokemon g basic cs5bc f  草  藤鞭 10\n\n\n 草  飞叶快刀 20\n\n\n 藤鞭 g 10 飞叶快刀 gc 20
CSVE2C-001	妙蛙种子 bulbasaur pokemon g basic csve2c f  草  藤鞭 10\n\n\n 草  飞叶快刀 20\n\n\n 藤鞭 g 10 飞叶快刀 gc 20
151C-001	妙蛙种子 bulbasaur pokemon g basic 151c g  草  寄生种子 20\n回复这只宝可梦 20 hp \n\n 寄生种子 gc 20 回复这只宝可梦 20 hp 
CSVE1C-001	妙蛙种子 bulbasaur pokemon g basic csve1c g  草  寄生种子 20\n回复这只宝可梦 20 hp \n\n 寄生种子 gc 20 回复这只宝可梦 20 hp 
CSVL1C-086	妙蛙种子 bulbasaur pokemon g basic csvl1c g  草  寄生种子 20\n回复这只宝可梦 20 hp \n\n 寄生种子 gc 20 回复这只宝可梦 20 hp 
SVP-066	妙蛙种子 bulbasaur pokemon g basic svp g  草  藤鞭 50\n\n\n 藤鞭 gcc 50
SVP-069	妙蛙种子 bulbasaur pokemon g basic svp g  草  藤鞭 50\n\n\n 藤鞭 gcc 50
SVP-097	妙蛙种子 bulbasaur pokemon g basic svp g  草  寄生种子 20\n回复这只宝可梦 20 hp \n\n 寄生种子 gc 20 回复这只宝可梦 20 hp 
30thP-001	妙蛙种子 pokemon g basic 30thp j  草  寄生种子 10\n回复这只宝可梦 10 hp \n\n 寄生种子 g 10 回复这只宝可梦 10 hp 
CSM1DC-002	妙蛙草 ivysaur pokemon g stage 1 csm1dc a  草  飞叶快刀 30\n\n\n 草  草  剧毒之鞭 50\n使对手的战斗宝可梦陷入 中毒 和 混乱 状态 \n\n 飞叶快刀 gc 30 剧毒之鞭 ggcc 50 使对手的战斗宝可梦陷入 中毒 和 混乱 状态 
CSMPaC-003	妙蛙草 ivysaur pokemon g stage 1 csmpac a  草  飞叶快刀 30\n\n\n 草  草  剧毒之鞭 50\n使对手的战斗宝可梦陷入 中毒 和 混乱 状态 \n\n 飞叶快刀 gc 30 剧毒之鞭 ggcc 50 使对手的战斗宝可梦陷入 中毒 和 混乱 状态 
CS5bC-002	妙蛙草 ivysaur pokemon g stage 1 cs5bc f  草  引诱香氛 \n选择自己牌库中最多2张宝可梦 在给对手看过之后 加入手牌 并重洗牌库 \n\n 草  飞叶快刀 60\n\n\n 引诱香氛 g 选择自己牌库中最多2张宝可梦 在给对手看过之后 加入手牌 并重洗牌库  飞叶快刀 gcc 60
CSVE2C-002	妙蛙草 ivysaur pokemon g stage 1 csve2c f  草  引诱香氛 \n选择自己牌库中最多2张宝可梦 在给对手看过之后 加入手牌 并重洗牌库 \n\n 草  飞叶快刀 60\n\n\n 引诱香氛 g 选择自己牌库中最多2张宝可梦 在给对手看过之后 加入手牌 并重洗牌库  飞叶快刀 gcc 60
151C-002	妙蛙草 ivysaur pokemon g stage 1 151c g  草  寄生种子 30\n回复这只宝可梦 20 hp \n\n 草  草  藤鞭 80\n\n\n 寄生种子 gc 30 回复这只宝可梦 20 hp  藤鞭 ggc 80
CSVE1C-002	妙蛙草 ivysaur pokemon g stage 1 csve1c g  草  寄生种子 30\n回复这只宝可梦 20 hp \n\n 草  草  藤鞭 80\n\n\n 寄生种子 gc 30 回复这只宝可梦 20 hp  藤鞭 ggc 80
CSVL1C-087	妙蛙草 ivysaur pokemon g stage 1 csvl1c g  草  寄生种子 30\n回复这只宝可梦 20 hp \n\n 草  草  藤鞭 80\n\n\n 寄生种子 gc 30 回复这只宝可梦 20 hp  藤鞭 ggc 80
CS5bC-004	光辉妙蛙花 radiant venusaur pokemon radiant g basic cs5bc f 特性  阳光绽放\n在自己的回合结束时可以使用1次 从牌库上方抽取卡牌 直到自己的手牌变为4张为止 \n\n 草  草  危险花粉 90\n使对手的战斗宝可梦陷入 中毒 和 灼伤 和 混乱 状态 \n\n 危险花粉 ggc 90 使对手的战斗宝可梦陷入 中毒 和 灼伤 和 混乱 状态  阳光绽放 在自己的回合结束时可以使用1次 从牌库上方抽取卡牌 直到自己的手牌变为4张为止 
