#set1
set_code	name	series	release_date
CSV10C	共逐荣光	Scarlet & Violet	2026-07-16
CSVH5C	嗨皮组合 快龙&超梦&喷火驼&来悲粗茶	Scarlet & Violet	2026-07-16
CSVH5aC	嗨皮组合 快龙&超梦&喷火驼&来悲粗茶 改造包	Scarlet & Violet	2026-07-16
CSVH5eC	嗨皮组合 快龙&超梦&喷火驼&来悲粗茶 嗨皮包	Scarlet & Violet	2026-07-16
CSVH5pC	嗨皮组合 快龙&超梦&喷火驼&来悲粗茶 奖赏包	Scarlet & Violet	2026-07-16
CSVM2aC	大师战略卡组构筑套装 猛雷鼓ex	Scarlet & Violet	2026-07-16
CSVM2bC	大师战略卡组构筑套装 多龙巴鲁托ex	Scarlet & Violet	2026-07-16
CSVM2cC	大师战略卡组构筑套装 赛富豪ex	Scarlet & Violet	2026-07-16
CSV9.5C	太晶盛聚	Scarlet & Violet	2026-06-12
CSV9C	星彩晶璃	Scarlet & Violet	2026-05-15
CSVNC	北上乡专题包	Scarlet & Violet	2026-05-15
CBB5C	宝石包 VOL.5	Scarlet & Violet	2026-04-24
CSVH4C	嗨皮卡组 狙射树枭&美录梅塔&故勒顿&密勒顿	Scarlet & Violet	2026-04-10
CSVH4aC	嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 改造包	Scarlet & Violet	2026-04-10
CSVH4eC	嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 嗨皮包	Scarlet & Violet	2026-04-10
CSVH4pC	嗨皮组合 狙射树枭&美录梅塔&故勒顿&密勒顿 奖赏包	Scarlet & Violet	2026-04-10
CSV8C	璀璨诡幻	Scarlet & Violet	2026-03-13
CBB4C	宝石包 VOL.4	Scarlet & Violet	2026-02-06
CSV7C	利刃猛醒	Scarlet & Violet	2026-01-16
CSVM1aC	大师战略卡组构筑套装 喷火龙ex	Scarlet & Violet	2026-01-16
CSVM1bC	大师战略卡组构筑套装 沙奈朵ex	Scarlet & Violet	2026-01-16
CSVM1cC	大师战略卡组构筑套装 密勒顿ex	Scarlet & Violet	2026-01-16
