#dtl1
CSM1DC-324	这张卡牌，可被视作2个【无】能量。					起始卡组 横空出世GX	无标记		A	Double Colorless Energy
CSM1cC-149	这张卡牌，可被视作2个【无】能量。					横空出世 泽	U		A	Double Colorless Energy
CSM1cC-212	这张卡牌，可被视作2个【无】能量。					横空出世 泽	UR		A	Double Colorless Energy
CSM2DC-342	这张卡牌，可被视作2个【无】能量。					起始卡组 交相辉映GX	无标记		A	Double Colorless Energy
CSMAC-018	这张卡牌，可被视作2个【无】能量。					卡组构筑进阶礼盒 阿尔宙斯&帝牙卢卡&帕路奇亚GX	无标记		A	Double Colorless Energy
CSMPfC-024	这张卡牌，可被视作2个【无】能量。					对战派对组合 斗	无标记		A	Double Colorless Energy
CSMPgC-024	这张卡牌，可被视作2个【无】能量。					对战派对组合 恶	无标记		A	Double Colorless Energy
CSMPhC-024	这张卡牌，可被视作2个【无】能量。					对战派对组合 钢	无标记		A	Double Colorless Energy
CSM1bC-150	这张卡牌，可被视作1个【无】能量。\n\n当这张卡牌，被附着于自己的宝可梦（除「宝可梦GX・EX」外）身上时，如果自己的剩余奖赏卡张数比对手的剩余奖赏卡多的话，可被视作2个所有属性的能量。					横空出世 苍	U		A	Counter Energy
CSM1bC-204	这张卡牌，可被视作1个【无】能量。\n\n当这张卡牌，被附着于自己的宝可梦（除「宝可梦GX・EX」外）身上时，如果自己的剩余奖赏卡张数比对手的剩余奖赏卡多的话，可被视作2个所有属性的能量。					横空出世 苍	UR		A	Counter Energy
CSMPpC-010	这张卡牌，可被视作1个【无】能量。\n\n当这张卡牌，被附着于自己的宝可梦（除「宝可梦GX・EX」外）身上时，如果自己的剩余奖赏卡张数比对手的剩余奖赏卡多的话，可被视作2个所有属性的能量。					对战派对组合改造包 恶	无标记		A	Counter Energy
CSM1aC-151	当将这张卡牌从手牌使出附着于宝可梦身上时，给该宝可梦身上放置1个伤害指示物。只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量。\n\n如果没有被附着于宝可梦身上，则被视作1个【无】能量。					横空出世 赫	U		A	Rainbow Energy
CSM1aC-211	当将这张卡牌从手牌使出附着于宝可梦身上时，给该宝可梦身上放置1个伤害指示物。只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量。\n\n如果没有被附着于宝可梦身上，则被视作1个【无】能量。					横空出世 赫	UR		A	Rainbow Energy
CSMAC-019	当将这张卡牌从手牌使出附着于宝可梦身上时，给该宝可梦身上放置1个伤害指示物。只要这张卡牌，被附着于宝可梦身上，就可被视作1个所有属性的能量。\n\n如果没有被附着于宝可梦身上，则被视作1个【无】能量。					卡组构筑进阶礼盒 阿尔宙斯&帝牙卢卡&帕路奇亚GX	无标记		A	Rainbow Energy
CSM1bC-151	这张卡牌，可被视作1个【无】能量。\n\n当将这张卡牌从手牌使出附着于战斗宝可梦身上时，将该宝可梦与备战宝可梦互换。					横空出世 苍	U		A	Warp Energy
CSM1aC-150	这张卡牌，可被视作1个【无】能量。\n\n这张卡牌，当被附着于自己的「究极异兽」身上时，可被视作1个所有属性的能量，身上附有这张卡牌的「究极异兽」所使用的招式，给对手的战斗宝可梦造成的伤害「+30」。					横空出世 赫	PR	Prism Star	B	Beast Energy Prism Star
CSM1.5C-060	只要这张卡牌，被附着于宝可梦身上，就可被视作1个【斗】【恶】【妖】3种属性的能量。\n\n如果没有被附着于宝可梦身上，则被视作1个【无】能量。					对战精英	U		B	Unit Energy FDY
CSM1.5C-088	只要这张卡牌，被附着于宝可梦身上，就可被视作1个【斗】【恶】【妖】3种属性的能量。\n\n如果没有被附着于宝可梦身上，则被视作1个【无】能量。					对战精英	UR		B	Unit Energy FDY
CSM1.5C-058	只要这张卡牌，被附着于宝可梦身上，就可被视作1个【草】【火】【水】3种属性的能量。\n\n如果没有被附着于宝可梦身上，则被视作1个【无】能量。					对战精英	U		B	Unit Energy GRW
CSM1.5C-086	只要这张卡牌，被附着于宝可梦身上，就可被视作1个【草】【火】【水】3种属性的能量。\n\n如果没有被附着于宝可梦身上，则被视作1个【无】能量。					对战精英	UR		B	Unit Energy GRW
