#srch1
CSM1.5C-055	被破坏殆尽的原野 devoured field stadium csm1 5c a 双方的 恶 或 龙 宝可梦使用的招式 给对手战斗宝可梦造成的伤害 +10  
CSM2DC-337	被破坏殆尽的原野 devoured field stadium csm2dc a 双方的 恶 或 龙 宝可梦使用的招式 给对手战斗宝可梦造成的伤害 +10  
CSMPgC-023	被破坏殆尽的原野 devoured field stadium csmpgc a 双方的 恶 或 龙 宝可梦使用的招式 给对手战斗宝可梦造成的伤害 +10  
CSM1DC-319	潺潺之丘 brooklet hill stadium csm1dc a 双方玩家 每次在自己的回合有1次机会 可将自己牌库中的1张 水 或者 斗 属性的 基础 宝可梦 放于备战区 在这种情况下 重洗牌库 
CSM1cC-146	潺潺之丘 brooklet hill stadium csm1cc a 双方玩家 每次在自己的回合有1次机会 可将自己牌库中的1张 水 或者 斗 属性的 基础 宝可梦 放于备战区 在这种情况下 重洗牌库 
CSM1cC-211	潺潺之丘 brooklet hill stadium csm1cc a 双方玩家 每次在自己的回合有1次机会 可将自己牌库中的1张 水 或者 斗 属性的 基础 宝可梦 放于备战区 在这种情况下 重洗牌库 
CSM2DC-338	潺潺之丘 brooklet hill stadium csm2dc a 双方玩家 每次在自己的回合有1次机会 可将自己牌库中的1张 水 或者 斗 属性的 基础 宝可梦 放于备战区 在这种情况下 重洗牌库 
CSMPoC-010	潺潺之丘 brooklet hill stadium csmpoc a 双方玩家 每次在自己的回合有1次机会 可将自己牌库中的1张 水 或者 斗 属性的 基础 宝可梦 放于备战区 在这种情况下 重洗牌库 
CSM1DC-323	拉纳基拉山 mount lanakila stadium csm1dc a 双方所有 基础 宝可梦 撤退 所需能量 各增加1个 
CSM1DC-322	魄镇 po town stadium csm1dc a 每次双方玩家 各从手牌将宝可梦使出并进行进化时 将3个伤害指示物放于该宝可梦身上 
CSM1cC-148	魄镇 po town stadium csm1cc a 每次双方玩家 各从手牌将宝可梦使出并进行进化时 将3个伤害指示物放于该宝可梦身上 
CSM1DC-321	日轮祭坛 altar of the sunne stadium csm1dc a 双方场上所有的 火 和 钢 宝可梦的弱点 全部消除 
CSM1aC-147	日轮祭坛 altar of the sunne stadium csm1ac a 双方场上所有的 火 和 钢 宝可梦的弱点 全部消除 
CSM1DC-316	虚无之海 sea of nothingness stadium csm1dc a 双方处于特殊状态的宝可梦 其所处于的特殊状态不会因为进化 退化而恢复 
CSM1DC-317	以太乐园保护区 aether paradise conservation area stadium csm1dc a 双方的 草 或 雷 属性的 基础 宝可梦 所受到的对手宝可梦招式的伤害 -30  
CSM1bC-146	以太乐园保护区 aether paradise conservation area stadium csm1bc a 双方的 草 或 雷 属性的 基础 宝可梦 所受到的对手宝可梦招式的伤害 -30  
CSM1bC-203	以太乐园保护区 aether paradise conservation area stadium csm1bc a 双方的 草 或 雷 属性的 基础 宝可梦 所受到的对手宝可梦招式的伤害 -30  
CSMPjC-010	以太乐园保护区 aether paradise conservation area stadium csmpjc a 双方的 草 或 雷 属性的 基础 宝可梦 所受到的对手宝可梦招式的伤害 -30  
CSM1DC-318	月轮祭坛 altar of the moone stadium csm1dc a 身上附有 超 或 恶 能量的双方所有宝可梦  撤退 所需能量各减少2个 
CSM1aC-146	月轮祭坛 altar of the moone stadium csm1ac a 身上附有 超 或 恶 能量的双方所有宝可梦  撤退 所需能量各减少2个 
CSM1.5C-054	惩戒祠堂 shrine of punishment stadium csm1 5c b 每当宝可梦检查时 给双方的所有 宝可梦gx・ex 身上 各放置1个伤害指示物 
CSM1.5C-085	惩戒祠堂 shrine of punishment stadium csm1 5c b 每当宝可梦检查时 给双方的所有 宝可梦gx・ex 身上 各放置1个伤害指示物 
CSM1aC-149	弗拉达利研究所 lysandre labs stadium csm1ac b 双方场上的 宝可梦道具 效果 全部消除 
CSM1bC-148	黑市◇ black market prism star stadium prism star csm1bc b 双方的身上附有 恶 能量的 恶 宝可梦 当受到对手宝可梦的招式的伤害而 昏厥 时 被对手拿取的奖赏卡将减少1张 \n\n只要这张竞技场在场上 双方玩家从手牌使出物品或支援者时 不受其效果影响 
CSM1aC-148	火力工厂◇ heat factory prism star stadium prism star csm1ac b 双方玩家 每次在自己的回合有1次机会 可将自己手牌中的1张 火 能量 放于弃牌区 如果成功将能量放于弃牌区的话 则从自己的牌库上方抽取3张卡牌 \n\n只要这张竞技场在场上 双方玩家从手牌使出物品或支援者时 不受其效果影响 
CSM1bC-145	究极空间 ultra space stadium csm1bc b 双方玩家 在自己的回合有1次机会 可将自己牌库中的1张 究极异兽  在给对手看过之后 加入手牌 在这种情况下 重洗牌库 
CSM1bC-147	雷霆山◇ thunder mountain prism star stadium prism star csm1bc b 双方场上 雷 宝可梦使用招式所需能量 各减少1个 雷 能量 \n\n只要这张竞技场在场上 双方玩家从手牌使出物品或支援者时 不受其效果影响 
CSM1.5C-057	奇迹迷宫◇ wondrous labyrinth prism star stadium prism star csm1 5c b 双方场上宝可梦 除 妖 宝可梦外 使用招式所需能量 各增加1个 无 能量 \n\n只要这张竞技场在场上 双方玩家从手牌使出物品或支援者时 不受其效果影响 
CSM1bC-149	生命之森◇ life forest prism star stadium prism star csm1bc b 双方玩家 在自己的回合有1次机会 可回复自己1只 草 宝可梦 60 点hp 并恢复所有特殊状态 \n\n只要这张竞技场在场上 双方玩家从手牌使出物品或支援者时 不受其效果影响 
CSM1.5C-056	天冠山 mt  coronet stadium csm1 5c b 双方玩家 在自己的回合有1次机会 将自己弃牌区中的2张 钢 能量 在给对手看过之后 加入手牌 
CSM1DC-320	天空之柱 sky pillar stadium csm1dc b 双方的所有备战宝可梦 不会受到对手的招式的伤害和效果影响 
CSM1cC-147	天空之柱 sky pillar stadium csm1cc b 双方的所有备战宝可梦 不会受到对手的招式的伤害和效果影响 
CSM2DC-339	天空之柱 sky pillar stadium csm2dc b 双方的所有备战宝可梦 不会受到对手的招式的伤害和效果影响 
CSM1DC-315	维拉火山公园 wela volcano park stadium csm1dc b 双方处于 灼伤 状态的宝可梦 在宝可梦检查时即使抛掷硬币出现正面 其 灼伤 状态也不会恢复 
CSM2cC-148	暗夜市 dark city stadium csm2cc c 双方所有 恶 属性的 基础 宝可梦的 撤退 所需能量 全部消除 
CSMPpC-009	暗夜市 dark city stadium csmppc c 双方所有 恶 属性的 基础 宝可梦的 撤退 所需能量 全部消除 
CSM2bC-149	宝可梦研究所 pokémon research lab stadium csm2bc c 双方玩家 在自己的回合可以有1次机会 可将自己牌库中最多2张从 谜之化石 进化而来的宝可梦 放于备战区 在这种情况下 重洗牌库 如果使用了这个效果的话 自己的回合结束 
CSM2.5C-059	暴雪镇 blizzard town stadium csm2 5c c 双方场上剩余hp在 40 点以下的宝可梦 包含40点  无法使用招式 
CSM2DC-341	常青森林 viridian forest stadium csm2dc c 双方玩家 每次在自己的回合有1次机会 可将自己的1张手牌 放于弃牌区 在这种情况下 将自己牌库中的1张基本能量 在给对手看过之后 加入手牌 并重洗牌库 
CSM2aC-149	常青森林 viridian forest stadium csm2ac c 双方玩家 每次在自己的回合有1次机会 可将自己的1张手牌 放于弃牌区 在这种情况下 将自己牌库中的1张基本能量 在给对手看过之后 加入手牌 并重洗牌库 
CSM2aC-193	常青森林 viridian forest stadium csm2ac c 双方玩家 每次在自己的回合有1次机会 可将自己的1张手牌 放于弃牌区 在这种情况下 将自己牌库中的1张基本能量 在给对手看过之后 加入手牌 并重洗牌库 
CSMAC-017	常青森林 viridian forest stadium csmac c 双方玩家 每次在自己的回合有1次机会 可将自己的1张手牌 放于弃牌区 在这种情况下 将自己牌库中的1张基本能量 在给对手看过之后 加入手牌 并重洗牌库 
CSM2DC-335	格斗道场 martial arts dojo stadium csm2dc c 双方的身上附有基本 斗 能量的宝可梦 除 究极异兽 外 使用的招式 给对手战斗宝可梦造成的伤害 +10  如果自己的剩余奖赏卡张数 比对手多的话 则变为 +40  
CSM2bC-147	格斗道场 martial arts dojo stadium csm2bc c 双方的身上附有基本 斗 能量的宝可梦 除 究极异兽 外 使用的招式 给对手战斗宝可梦造成的伤害 +10  如果自己的剩余奖赏卡张数 比对手多的话 则变为 +40  
CSM2bC-192	格斗道场 martial arts dojo stadium csm2bc c 双方的身上附有基本 斗 能量的宝可梦 除 究极异兽 外 使用的招式 给对手战斗宝可梦造成的伤害 +10  如果自己的剩余奖赏卡张数 比对手多的话 则变为 +40  
CSMPfC-023	格斗道场 martial arts dojo stadium csmpfc c 双方的身上附有基本 斗 能量的宝可梦 除 究极异兽 外 使用的招式 给对手战斗宝可梦造成的伤害 +10  如果自己的剩余奖赏卡张数 比对手多的话 则变为 +40  
CSM2.5C-057	混沌潮漩 chaotic swell stadium csm2 5c c 当双方玩家 从手牌使出别的名字的竞技场时 将这张竞技场放于弃牌区之后 那张竞技场也会被放于弃牌区  新出场的竞技场的效果不产生作用  
CSM2cC-147	巨大炉灶 giant hearth stadium csm2cc c 双方玩家 每次在自己的回合有1次机会 可将自己的1张手牌 放于弃牌区 在这种情况下 将自己牌库中最多2张 火 能量 在给对手看过之后 加入手牌 并重洗牌库 
CSM2cC-191	巨大炉灶 giant hearth stadium csm2cc c 双方玩家 每次在自己的回合有1次机会 可将自己的1张手牌 放于弃牌区 在这种情况下 将自己牌库中最多2张 火 能量 在给对手看过之后 加入手牌 并重洗牌库 
CSM2.5C-058	垃圾岛 dust island stadium csm2 5c c 当双方的玩家 将自己处于 中毒 状态的战斗宝可梦因训练家的效果而与备战宝可梦互换时 新出场的宝可梦 会继承其 中毒 状态  如果因该 中毒 而放置的伤害指示物数量有所增加的话 则也同样继承其数量  
CSM2cC-149	微寐森林 slumbering forest stadium csm2cc c 双方玩家因 睡眠 而抛掷的硬币次数变为2次 只有均为正面才会恢复 
CSM2.5C-060	无人发电厂 power plant stadium csm2 5c c 将双方场上 宝可梦gx・ex 的特性 全部消除 
CSM2.5C-098	无人发电厂 power plant stadium csm2 5c c 将双方场上 宝可梦gx・ex 的特性 全部消除 
CSM2DC-340	小刚的深灰市道馆 brock s pewter city gym stadium csm2dc c 双方的 大岩蛇gx  受到对手宝可梦的招式的伤害 -40  
CSM2DC-336	小霞的华蓝市道馆 misty s cerulean city gym stadium csm2dc c 双方的 宝石海星gx 所使用的招式 给对手的战斗宝可梦造成的伤害 +40  
CSM2bC-148	紫苑镇 lavender town stadium csm2bc c 双方玩家 每次在自己的回合有1次机会 可查看对手的手牌 
CS1DC-204	草路竞技场 turffield stadium stadium cs1dc d 双方玩家 在自己的回合有1次机会 可选择自己牌库中的1张 草 属性进化宝可梦 在给对手看过之后 加入手牌 并重洗牌库 
CS1bC-135	草路竞技场 turffield stadium stadium cs1bc d 双方玩家 在自己的回合有1次机会 可选择自己牌库中的1张 草 属性进化宝可梦 在给对手看过之后 加入手牌 并重洗牌库 
CS1bC-198	草路竞技场 turffield stadium stadium cs1bc d 双方玩家 在自己的回合有1次机会 可选择自己牌库中的1张 草 属性进化宝可梦 在给对手看过之后 加入手牌 并重洗牌库 
CS1.5C-051	伽勒尔矿山 galar mine stadium cs1 5c d 双方战斗宝可梦的 撤退 所需能量 各增加2个 
CS2.1C-008	伽勒尔矿山 galar mine stadium cs2 1c d 双方战斗宝可梦的 撤退 所需能量 各增加2个 
CS2aC-113	宫门竞技场 wyndon stadium stadium cs2ac d 每当双方玩家 在自己的回合 从手牌使出 宝可梦vmax 使 宝可梦v 进化时 回复该宝可梦 100 点hp 
CS2bC-113	尖钉镇 spikemuth stadium cs2bc d 每当双方玩家 在自己的回合 自己的战斗宝可梦回到备战区时 给回到备战区的宝可梦身上放置2个伤害指示物 
CS2.5C-057	洛兹大厦 rose tower stadium cs2 5c d 双方玩家 每次在自己的回合有1次机会 可从牌库上方抽取卡牌 直到自己的手牌变为3张为止 
CS1DC-206	迷光森林 glimwood tangle stadium cs1dc d 双方玩家 在自己的回合有1次机会 因自己宝可梦的招式而抛掷硬币时 可无视这次抛掷硬币的所有结果 重新抛掷硬币 
CS1aC-134	迷光森林 glimwood tangle stadium cs1ac d 双方玩家 在自己的回合有1次机会 因自己宝可梦的招式而抛掷硬币时 可无视这次抛掷硬币的所有结果 重新抛掷硬币 
CS4.1C-004	玩家庆典 stadium cs4 1c d 双方玩家 在自己的回合有1次机会 可从自己的牌库上方抽取2张卡牌 在这种情况下 自己的回合结束 
CS1DC-205	训练场地 training court stadium cs1dc d 双方玩家 在自己的回合有1次机会 可选择自己弃牌区中的1张基本能量 在给对手看过之后 加入手牌 
CS1aC-133	训练场地 training court stadium cs1ac d 双方玩家 在自己的回合有1次机会 可选择自己弃牌区中的1张基本能量 在给对手看过之后 加入手牌 
CS1aC-217	训练场地 training court stadium cs1ac d 双方玩家 在自己的回合有1次机会 可选择自己弃牌区中的1张基本能量 在给对手看过之后 加入手牌 
CSAC-023	训练场地 training court stadium csac d 双方玩家 在自己的回合有1次机会 可选择自己弃牌区中的1张基本能量 在给对手看过之后 加入手牌 
CS2aC-112	战竞温泉 circhester bath stadium cs2ac d 双方的 基础 宝可梦 受到对手宝可梦的招式的伤害 -20  
CS3aC-123	恶之塔 tower of darkness stadium  "single strike"  cs3ac e 双方玩家 每次在自己的回合有1次机会 如果将自己手牌中的1张 一击 卡放于弃牌区的话 则可从自己的牌库上方抽取2张卡牌 
CSBC-017	恶之塔 tower of darkness stadium  "single strike"  csbc e 双方玩家 每次在自己的回合有1次机会 如果将自己手牌中的1张 一击 卡放于弃牌区的话 则可从自己的牌库上方抽取2张卡牌 在自己的回合 只可以将1张竞技场卡放置于战斗区旁 如果有别的名称的竞技场卡被放入场上 则将此卡放入弃牌区 
CSVE1C-165	恶之塔 tower of darkness stadium  "single strike"  csve1c e 双方玩家 每次在自己的回合有1次机会 如果将自己手牌中的1张 一击 卡放于弃牌区的话 则可从自己的牌库上方抽取2张卡牌 在自己的回合 只可以将1张竞技场卡放置于战斗区旁 如果有别的名称的竞技场卡被放入场上 则将此卡放入弃牌区 
CS4bC-130	风暴山脉 stormy mountains stadium cs4bc e 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 雷 或 龙 属性的 基础 宝可梦 放于备战区 并重洗牌库 
CS4bC-175	风暴山脉 stormy mountains stadium cs4bc e 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 雷 或 龙 属性的 基础 宝可梦 放于备战区 并重洗牌库 
CSVE1C-166	风暴山脉 stormy mountains stadium csve1c e 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 雷 或 龙 属性的 基础 宝可梦 放于备战区 并重洗牌库 
CSVE2C-196	风暴山脉 stormy mountains stadium csve2c e 双方玩家 每次在自己的回合有1次机会 可选择自己牌库中的1张 雷 或 龙 属性的 基础 宝可梦 放于备战区 并重洗牌库 
CS4bC-131	滑板手的公园 skaters  park stadium cs4bc e 如果双方的战斗宝可梦在 撤退 时 放于弃牌区的能量是基本能量的话 则不将该能量放于弃牌区 而是放回自己的手牌 
CSVE2C-199	滑板手的公园 skaters  park stadium csve2c e 如果双方的战斗宝可梦在 撤退 时 放于弃牌区的能量是基本能量的话 则不将该能量放于弃牌区 而是放回自己的手牌 
CS4aC-130	结晶洞窟 crystal cave stadium cs4ac e 双方玩家 在自己的回合有1次机会 可将自己所有的 钢 宝可梦和 龙 宝可梦的hp 各回复 30 点 
CS4aC-182	结晶洞窟 crystal cave stadium cs4ac e 双方玩家 在自己的回合有1次机会 可将自己所有的 钢 宝可梦和 龙 宝可梦的hp 各回复 30 点 
CSVE2C-198	结晶洞窟 crystal cave stadium csve2c e 双方玩家 在自己的回合有1次机会 可将自己所有的 钢 宝可梦和 龙 宝可梦的hp 各回复 30 点 
CS3bC-120	巨树丘陵 dyna tree hill stadium cs3bc e 双方的所有宝可梦无法回复hp 
