#dtl1
CSV10C-204	从自己牌库上方抽取2张卡牌。如果对手的剩余奖赏卡张数在3张及以下的话，则额外抽取2张卡牌。				Cona Nitanda	共逐荣光	C		I	
CSV10C-252	从自己牌库上方抽取2张卡牌。如果对手的剩余奖赏卡张数在3张及以下的话，则额外抽取2张卡牌。				Cona Nitanda	共逐荣光	SR		I	
CSM2cC-137	将自己牌库上方6张卡牌放于弃牌区，将其中所有的基本能量，附着于自己的备战区中的1只【龙】宝可梦身上。				Ryuta Fuse	交相辉映 唤	U		C	N's Resolve
CSM2cC-175	将自己牌库上方6张卡牌放于弃牌区，将其中所有的基本能量，附着于自己的备战区中的1只【龙】宝可梦身上。				Mana Ibe	交相辉映 唤	SR		C	N's Resolve
CS6.5C-070	选择自己牌库中最多3张【龙】宝可梦，在给对手看过之后，加入手牌。并重洗牌库。				Ken Sugimori	胜象星引	U		F	Lance
CS6.5C-084	选择自己牌库中最多3张【龙】宝可梦，在给对手看过之后，加入手牌。并重洗牌库。				Ryuta Fuse	胜象星引	SR		F	Lance
CS6.5C-093	选择自己牌库中最多3张【龙】宝可梦，在给对手看过之后，加入手牌。并重洗牌库。				Ryuta Fuse	胜象星引	HR		F	Lance
CSM1.5C-049	这张卡牌，只有在上一个对手的回合，自己的宝可梦【昏厥】时才可使用。\n\n将自己牌库中最多2张【龙】宝可梦，放于备战区。并重洗牌库。				kodama	对战精英	PR	Prism Star	B	Lance Prism Star
CSV2C-119	如果使用了这张卡牌的话，则自己的回合结束。\n\n将自己的手牌全部放回牌库并重洗牌库。然后，从牌库上方抽取8张卡牌。				Akira Komayama	奇迹启程	U		G	Katy
CSV2C-146	如果使用了这张卡牌的话，则自己的回合结束。\n\n将自己的手牌全部放回牌库并重洗牌库。然后，从牌库上方抽取8张卡牌。				Akira Komayama	奇迹启程	SR		G	Katy
CSM2DC-298	使对手的战斗宝可梦陷入【中毒】和【混乱】状态。				Megumi Mizutani	起始卡组 交相辉映GX	无标记		C	Koga's Trap
CSM2bC-137	使对手的战斗宝可梦陷入【中毒】和【混乱】状态。				Megumi Mizutani	交相辉映 魁	U		C	Koga's Trap
CSM2bC-178	使对手的战斗宝可梦陷入【中毒】和【混乱】状态。				TOKIYA	交相辉映 魁	SR		C	Koga's Trap
CS6bC-125	查看自己牌库上方5张卡牌，选择其中3张卡牌，加入手牌。将剩余的卡牌放于放逐区。				Naoki Saito	碧海暗影 逐	U		F	Colress's Experiment
CS6bC-152	查看自己牌库上方5张卡牌，选择其中3张卡牌，加入手牌。将剩余的卡牌放于放逐区。				Naoki Saito	碧海暗影 逐	SR		F	Colress's Experiment
CS6bC-158	查看自己牌库上方5张卡牌，选择其中3张卡牌，加入手牌。将剩余的卡牌放于放逐区。				kantaro	碧海暗影 逐	SAR		F	Colress's Experiment
CS6bC-165	查看自己牌库上方5张卡牌，选择其中3张卡牌，加入手牌。将剩余的卡牌放于放逐区。				Naoki Saito	碧海暗影 逐	HR		F	Colress's Experiment
CSXC-015	查看自己牌库上方5张卡牌，选择其中3张卡牌，加入手牌。将剩余的卡牌放于放逐区。				Naoki Saito	卡组构筑进阶礼盒 骑拉帝纳VSTAR	无标记		F	Colress's Experiment
CSZC-044	查看自己牌库上方5张卡牌，选择其中3张卡牌，加入手牌。将剩余的卡牌放于放逐区。				Naoki Saito	收藏周边礼盒 百变宝盒	无标记		F	Colress's Experiment
