VALID	DESC	ID
		<VI>card_ids	<S>name	<B>type	<S>effect	<S>version

有效	注释	卡牌ID列表	名称	类型(I物品S支援者T竞技场E道具)	效果指令	版本
		13083	N的ＰＰ提升剂	I	attach_energy_from_discard:count=1;filter=基本;target=bench|unparsed:"身上。	I
		7102	阿尔宙斯手机	I	raw:查看自己的牌库上方1张卡，回复原样。若希望，选择1张自己的反面朝上的奖赏卡，与自己的牌库上方的卡维持反面朝上互换。	F
		6892,8090,9666	暗黑修正档	I	raw:从自己的弃牌区选择1张"基本【恶】能量"卡，附于备战区的【恶】宝可梦身上。	F
		3465,3961	暗之石	I	shuffle_deck|unparsed:若自己的场上有可进化成"梦妖魔""乌鸦头头""水晶灯火灵""坚盾剑怪"（包含GX）的宝可梦，从自己的	C
		11982	百万吨吹风机	I	raw:将对手的所有宝可梦身上附加的"宝可梦道具"卡与"特殊能量"卡，与场上的"竞技场"卡，全部丢弃。	H
		11979	帮忙铃	I	condition:first_turn_second|search_deck_to_hand:count=1;filter=支援者|shuffle_deck	H
		1577,1691,1851,2014,2438,3276,3815,3959,4306,6142,6894	宝可齿轮3.0	I	raw:查看自己的牌库上方7张卡。选择其中1张支援者卡，在给对手看过后加入手牌。将剩余卡放回牌库并重洗。	C,D
		5906	宝可领航员	I	raw:查看自己的牌库上方3张。可将其中的1张宝可梦或能量卡，在给对手看过后加入手牌。将剩余卡以任意顺序排列，放回牌库上方。	B
		1579,1693,1853,2016,2256,2440,3091,3980,4308,4973,5908,6744,7586,7718,7740,7762,8490,8514,8849,9345,11174,12249,12250,12251,12745	宝可梦捕捉器	I	coin_flip:count=1|unparsed:若为正面，则选择对手的1只备战宝可梦，与战斗宝可梦互换。	A,D,F,G
		3975,4301,4807,4968,5898	宝可梦超级回收	I	coin_flip:count=1|return_to_hand:target=choose;with_attachments=true|unparsed:若为正面，则。	A
		1135,1578,1692,1852,2015,2255,2439,3090,3979,4307,4972,5907,6143,6269,6743,6872,6895,7445,7464,7561,7585,7717,7739,7761,8202,8464,8489,8513,8535,8558,8848,9344,9673,9818,9839,9899,10953,11001,11026,11173,11637,11658,11683,11705,11744,12048,12245,12246,12247,12248,12744,13137,13161	宝可梦交替	I	switch_pokemon:who=self	A,D,F,G
		4981	宝可梦培育家	I	heal:amount=20|unparsed:从自己的牌库抽出2张。然后，。	A
		3277,3816,3960,4309	宝可梦通信	I	search_deck_to_hand:count=1;filter=宝可梦|shuffle_deck|unparsed:从自己的手牌抽出1张宝可梦，在给对手看过后放回牌库。然后，。。	C
		11377,12570	宝可梦旋风回收机	I	raw:选择1只自己的场上宝可梦，将那只宝可梦与附加的卡，全部放回手牌。	H
		11506	宝可生机剂A	I	heal:amount=150|unparsed:这张卡只要在弃牌区，无法加入手牌，无法放回牌库。	H
