VALID	DESC	ID
		<VI>card_ids	<S>name	<B>type	<S>effect	<S>version

有效	注释	卡牌ID列表	名称	类型(I物品S支援者T竞技场E道具)	效果指令	版本
		4671	被破坏殆尽的原野	T	raw:双方的【恶】或者【龙】宝可梦使用的招式，对对手的战斗宝可梦造成的伤害"+10"点。	A
		4829,4986,5930	潺潺之丘	T	shuffle_deck|unparsed:双方玩家在自己的回合时，可使用1次，从自己的牌库抽出1张【水】或者【斗】属性的【基础】宝可梦放置于备	A
		4830	拉纳基拉山	T	raw:将双方的所有场上【基础】宝可梦【撤退】所需的能量增加1个。	A
		4673	魄镇	T	damage_place:count=3|unparsed:每次双方玩家从手牌使出宝可梦并完成进化，都在其身上。	A
		4672,4987	日轮祭坛	T	raw:将双方的场上所有【火】宝可梦与【钢】宝可梦的弱点全部消除。	A
		4827	虚无之海	T	raw:双方的处于特殊状态的宝可梦，就算进化・退化也不会恢复特殊状态。	A
		4670,4984	以太乐园保护区	T	raw:双方的【草】或者【雷】属性的【基础】宝可梦受到对手的宝可梦招式的伤害"-30"点。	A
		4828,4985	月轮祭坛	T	raw:将双方的所有身上附有【超】或者【恶】能量的宝可梦【撤退】所需的能量减少2个。	A
		5187	惩戒祠堂	T	damage_place:count=1|unparsed:每次宝可梦检查时，都在双方的所有"宝可梦GX・EX"身上各。	B
		5751	弗拉达利实验室	T	raw:将双方的场上的"宝可梦道具"的效果全部消除。	B
		5189	黑市◇	T	raw:当双方的身上附有【恶】能量的【恶】宝可梦，受到对手的宝可梦招式的伤害而【气绝】时，获得的奖赏卡的张数减少1张。只要这张竞技场卡在场上，当双方玩家从手牌使出物品卡	B
		5750	火力工厂◇	T	raw:双方玩家在自己的回合时，可使用1次，从自己的手牌抽出1张【火】能量卡丢到弃牌区。丢到弃牌区的情况下，从自己的牌库抽出3张。只要这张竞技场卡在场上，当双方玩家从手	B
		5929	究极空间	T	search_deck_to_hand:count=1;filter="究极异兽"|shuffle_deck|unparsed:双方玩家在自己的回合时，可使用1次，。这个情况下，。	B
		5748	雷霆山◇	T	raw:将双方的场上的【雷】宝可梦使用招式所需的能量，各减少1个【雷】能量。只要这张竞技场卡在场上，当双方玩家从手牌使出物品卡或者支援者卡时，这张竞技场卡不会受到其效果	B
		5752	奇迹迷宫◇	T	raw:将双方场上宝可梦（【妖】宝可梦除外）使用招式所需的能量，各增加1个【无】能量。只要这张竞技场卡在场上，当双方玩家从手牌使出物品卡或者支援者卡时，这张竞技场卡不会	B
		5190	生命之森◇	T	heal:amount=60|unparsed:双方玩家在自己的回合时，可使用1次，可，特殊状态也可全部恢复。只要这张竞技场卡在场上，当双方玩家从手	B
		5749	天冠山	T	recover_from_discard:count=1|unparsed:双方玩家在自己的回合时，可使用1次，。	B
		5188	天空之柱	T	prevent_damage:source=attack|unparsed:双方的所有备战宝可梦，与效果的影响。	B
