VALID	DESC	ID
		<VI>card_ids	<S>name	<B>type	<S>effect	<S>version

有效	注释	卡牌ID列表	名称	类型(I物品S支援者T竞技场E道具)	效果指令	版本
		3799	N的觉悟	S	raw:从自己的牌库上方抽出6张丢到弃牌区，将其中的所有基本能量卡附于自己的备战区的1只【龙】宝可梦身上。	C
		7693,8179	阿渡	S	search_deck_to_hand:count=3;filter=【龙】宝可梦|shuffle_deck	F
		8444	阿枫	S	shuffle_hand_to_deck:who=self;draw:count=8|end_turn	G
		3289,3966	阿桔的陷阱	S	inflict_status:statuses=poison,confusion	C
		7373,8103,8277	阿克罗玛的实验	S	peek_and_keep:peek=5;keep=3|lost_zone|unparsed:将剩余卡。	F
		11510,11780,12585,12973,13163	阿克罗玛的执著	S	search_deck_to_hand:count=1;filter=竞技场卡与能量卡|shuffle_deck	H
		7107	阿芒	S	draw:count=2|unparsed:若自己的战斗宝可梦为名称中有"洗翠"的宝可梦，则再抽出2张卡。	F
		5744	阿蜜	S	search_deck_to_hand:count=1;filter=【钢】宝可梦|shuffle_deck|unparsed:若在后攻玩家的最初回合使用，可加入手牌的【钢】宝可梦改为最多5张。	B
		12180,12378,12384	阿蜜的目光	S	raw:在下个对手的回合，自己的所有宝可梦受到对手的宝可梦招式的伤害"-30"点。（包含新上场的宝可梦。）	H
		2525	阿球	S	search_deck_to_hand:count=3;filter=名称中有"球"，名称各不同的物品|shuffle_deck	D
		3491,4820,5913	阿塞劳拉	S	raw:将自己的1只身上放置有伤害指示物的宝可梦，与所附加的所有卡放回手牌。	A
		6076	阿塞劳拉的预感	S	look_at:target=opponent_hand|unparsed:从自己的牌库抽出与其中训练家卡的张数相同数量的卡。	E
		8657	阿速	S	draw:count=2|unparsed:若场上有自己的竞技场卡，则再抽出2张卡。	G
		3283,3964	阿杏	S	raw:从自己的牌库上方抽出4张并查看，将其中的2张卡加入手牌。将剩余卡放回牌库并重洗。	C
		11511,11781,12587,12841,12975	阿杏的秘招	S	shuffle_deck|unparsed:选择最多2只自己的【恶】宝可梦，从自己的牌库附给那些宝可梦各1张"基本【恶】能量"卡。。附于战斗宝可	H
		6765,6875,6897,7450,7470,7590,7596,7721,7744,7766,8206	阿驯	S	draw:count=3	F
		13088,13190	艾莉丝的斗志	S	raw:这张卡必须将自己的1张手牌丢弃才可使用。 从牌库抽卡直到自己的手牌满6张为止。	I
		10935,11099,12586,12974	暗码迷的解读	S	raw:从自己的牌库任意选择2张卡。重洗剩余牌库，将所选的卡以任意顺序排列，放回牌库上方。	H
		9615,9754,12802	奥尔迪加	S	draw:count=1|look_at:target=opponent_hand|unparsed:从其中任意选择1张卡，放回对手的牌库下方。然后，对手若希望，。	G
		3115,8140	奥利薇	S	look_at:target=opponent_hand|unparsed:这张卡必须将自己的2张手牌丢弃才可使用。 ，选择其中1张训练家卡，放回对手的牌库下方。	D
