VALID	DESC	ID
		<VI>card_ids	<S>name	<B>type	<S>effect	<S>version

有效	注释	卡牌ID列表	名称	类型(I物品S支援者T竞技场E道具)	效果指令	版本
		3798,4311	U回转滑板	E	tool_template	C
		9023	安全护目镜	E	raw:附有这张卡的【基础】宝可梦的弱点全部消除。	G
		10020	不服输背心	E	raw:若自己剩余奖赏卡的张数，比对手剩余奖赏卡的张数多，则附有这张卡的宝可梦，受到对手的宝可梦招式的伤害"-40"点。	G
		8365,10282,11638	不服输头带	E	raw:若自己剩余奖赏卡的张数比对手剩余奖赏卡的张数多，则附有这张卡的宝可梦使用的招式，对对手的战斗宝可梦造成的伤害"+30"点。	G
		7035	超群眼镜	E	tool_template	F
		10934	沉重接力棒	E	raw:附有这张卡的【撤退】所需的能量为4个的宝可梦，在战斗场上受到对手的宝可梦招式的伤害而【昏厥】时，选择最多3张那只宝可梦身上附加的基本能量卡，以任意方式改附于自己	H
		9026,10281	吃剩的东西	E	end_turn|heal:amount=20|unparsed:在时，。	G
		1000	除草手套	E	raw:附有这张卡的宝可梦使用的招式，对对手的战斗场的【草】宝可梦造成的伤害"+30"点。	E
		12175	刺耳果	E	raw:附有这张卡的宝可梦受到对手的【恶】宝可梦招式的伤害时，那个伤害"-60"点，将这张卡丢弃。	H
		930,2019,6748	粗硬头盔	E	raw:当附有这张卡的宝可梦在战斗场受到对手的宝可梦招式的伤害时，选择1个使用招式的宝可梦身上附加的能量，放回对手的手牌。	E
		11885,12573	璀璨结晶	E	raw:附有这张卡的"太晶"宝可梦使用招式时，使用那个招式所需的能量减少1个。（减少的能量任何属性皆可。）	H
		6323	打空保险	E	tool_template	E
		7688	大地封印石	E	tool_template	F
		1696,2020,2923,6271	大护符	E	tool_template	D
		9024,10279	大气球	E	raw:附有这张卡的【2阶进化】宝可梦【撤退】所需的能量全部消除。	G
		1276	大阳伞	E	tool_template	D
		794	道具妨碍器	E	tool_template	E
		4655	电子记忆碟	E	tool_template	A
		4659	毒针	E	tool_template	A
		3281	耳鸣铃铛	E	tool_template	C
		5163,11985,12354	反击增幅器	E	tool_template	B,H
		932	防火手套	E	raw:附有这张卡的宝可梦使用的招式，对对手的战斗场的【火】宝可梦造成的伤害"+30"点。	E
		4817	飞奔腰包	E	tool_template	A
		3797	飞行Z 空气斩	E	tool_template	C
		11883	福禄果	E	raw:附有这张卡的宝可梦受到对手的【超】宝可梦招式的伤害时，那个伤害"-60"点，将这张卡丢弃。	H
		2519	腐朽的盾	E	tool_template	D
		2518	腐朽的剑	E	tool_template	D
		9613	复仇拳箱	E	damage_place:target=attacker;count=4|unparsed:附有这张卡的宝可梦受到对手的宝可梦招式的伤害而【昏厥】时，。	G
		655,6750	伽勒尔的胸甲	E	tool_template	E
		5166	干劲腰带	E	tool_template	B
		3490,5721	钢铁平底锅	E	tool_template	B
